word,DELMET,wordcat,word_10,label_10,word_22,label_22,word_21,label_21,word_5,label_5,word_1,label_1
And,0,CJ,And,0,And,0,And,0,And,0,,0
there,0,EX,there,0,there,0,there,0,there,0,,0
is,0,V,is,0,is,0,is,0,is,0,,0
always,0,AV,always,0,always,0,always,0,always,0,,0
the,0,AT,the,0,the,0,the,0,the,0,,0
ultimate,0,AJ,ultimate,0,ultimate,0,ultimate,0,ultimate,1,ultimate,1
unbundler,0,N,unbundler,0,unbundler,0,unbundler,1,unbundler,0,unbundler,1
defence,1,N,defence,1,defence,1,defence,0,defence,0,defence,0
that,0,CJ,that,0,that,0,that,0,that,0,,0
he,0,PN,he,0,he,0,he,0,he,0,,0
will,0,V,will,0,will,0,will,0,will,0,,0
make,1,V,make,0,make,0,make,0,make,0,make,0
money,0,N,money,0,money,0,money,0,money,0,money,0
for,0,PR,for,0,for,0,for,0,for,0,,0
his,0,DP,his,0,his,0,his,0,his,0,,0
backers,0,N,backers,0,backers,0,backers,0,backers,0,backers,0
Then,0,AV,Then,0,Then,0,Then,0,Then,0,,0
they,0,PN,they,0,they,0,they,0,they,0,,0
formed,0,V,formed,0,formed,1,formed,0,formed,0,formed,0
a,0,AT,a,0,a,0,a,0,a,0,,0
slow,0,AJ,slow,0,slow,0,slow,0,slow,0,,0
procession,0,N,procession,0,procession,1,procession,0,procession,0,procession,0
behind,0,PR,behind,0,behind,0,behind,0,behind,0,,0
the,0,AT,the,0,the,0,the,0,the,0,,0
coffin,0,N,coffin,0,coffin,0,coffin,0,coffin,0,coffin,0
into,0,PR,into,0,into,0,into,0,into,0,,0
the,0,AT,the,0,the,0,the,0,the,0,,0
mountains,0,N,mountains,0,mountains,0,mountains,0,mountains,0,mountains,0
to,0,PR,to,0,to,0,to,0,to,0,,0
the,0,AT,the,0,the,0,the,0,the,0,,0
old,0,AJ,old,0,old,0,old,0,old,0,,0
royal,0,AJ,royal,0,royal,0,royal,0,royal,0,,0
capital,0,N,capital,0,capital,0,capital,0,capital,0,capital,0
of,0,PR,of,0,of,0,of,0,of,0,,0
Cetinje,0,N,Cetinje,0,Cetinje,0,Cetinje,0,Cetinje,0,Cetinje,0
for,0,PR,for,0,for,0,for,0,for,0,,0
his,0,DP,his,0,his,0,his,0,his,0,,0
reburial,0,N,reburial,0,reburial,0,reburial,0,reburial,0,reburial,0
in,0,PR,in,0,in,0,in,0,in,0,,0
the,0,AT,the,0,the,0,the,0,the,0,,0
monastery,0,N,monastery,0,monastery,0,monastery,0,monastery,0,monastery,0
there,0,AV,there,0,there,0,there,0,there,0,,0
Just+as+so,0,AV + CJ + AV,Just+as+so,0,Just+as+so,0,Just+as+so,0,Just+as+so,0,,0
Thomson,0,N,Thomson,0,Thomson,0,Thomson,0,Thomson,0,Thomson,0
transferred,1,V,transferred,1,transferred,1,transferred,0,transferred,0,transferred,0
Stein,0,N,Stein,0,Stein,0,Stein,0,Stein,0,Stein,0
literary,0,AJ,literary,0,literary,1,literary,1,literary,1,,0
abstraction,0,N,abstraction,1,abstraction,1,abstraction,1,abstraction,1,abstraction,1
to,1,PR,to,0,to,0,to,0,to,0,,0
music,0,N,music,0,music,0,music,0,music,0,music,0
life,2,N,life,0,life,0,life,0,life,0,life,0
from,2,PR,from,0,from,0,from,0,from,0,,0
sitter,2,N,sitter,0,sitter,0,sitter,0,sitter,0,sitter,0
drawing,2,V,drawing,0,drawing,0,drawing,0,drawing,0,drawing,0
technique,2,N,technique,0,technique,0,technique,0,technique,0,technique,0
painter,2,N,painter,0,painter,0,painter,0,painter,0,painter,0
employ,2,V,employ,0,employ,0,employ,0,employ,0,employ,0
portraits,2,N,portraits,0,portraits,0,portraits,0,portraits,0,portraits,0
these,2,DT,these,0,these,0,these,0,these,0,,0
unusually,0,AV,unusually,0,unusually,0,unusually,0,unusually,0,,0
the,0,AT,the,0,the,0,the,0,the,0,,0
of,0,PR,of,0,of,0,of,0,of,0,,0
the,0,AT,the,0,the,0,the,0,the,0,,0
an,0,AT,an,0,an,0,an,0,an,0,,0
ideal,0,AJ,ideal,0,ideal,1,ideal,0,ideal,1,,0
combination,0,N,combination,0,combination,0,combination,0,combination,0,combination,0
of,0,PR,of,0,of,0,of,0,of,0,,0
Thomson,0,N,Thomson,0,Thomson,0,Thomson,0,Thomson,0,Thomson,0
habit,1,N,habit,0,habit,0,habit,0,habit,0,habit,0
of,0,PR,of,0,of,0,of,0,of,0,,0
immediate,1,AJ,immediate,0,immediate,0,immediate,0,immediate,0,,0
response,1,N,response,0,response,0,response,0,response,0,response,0
with,1,PR,with,0,with,0,with,0,with,0,,0
an,0,AT,an,0,an,0,an,0,an,0,,0
actual,0,AJ,actual,0,actual,0,actual,0,actual,0,,0
subject,1,N,subject,0,subject,0,subject,0,subject,0,subject,0
In,1,PR,In,0,In,0,In,0,In,0,,0
some,0,DT,some,0,some,0,some,0,some,0,,0
cases,0,N,cases,0,cases,0,cases,0,cases,0,cases,0
Labour,0,N,Labour,0,Labour,0,Labour,0,Labour,0,Labour,0
quangos,0,N,quangos,0,quangos,0,quangos,0,quangos,0,quangos,0
merge,1,V,merge,0,merge,1,merge,0,merge,0,merge,0
existing,0,AJ,existing,0,existing,0,existing,0,existing,0,existing,0
ones,0,N,ones,0,ones,0,ones,0,ones,0,ones,0
or,0,CJ,or,0,or,0,or,0,or,0,,0
replace,1,V,replace,0,replace,1,replace,0,replace,0,replace,0
well-established,0,AJ,well-established,0,well-established,0,well-established,0,well-established,0,,0
bodies,1,N,bodies,0,bodies,0,bodies,0,bodies,0,bodies,0
The,0,AT,The,0,The,0,The,0,The,0,,0
success,0,N,success,0,success,0,success,0,success,0,success,0
of,0,PR,of,0,of,0,of,0,of,0,,0
the,0,AT,the,0,the,0,the,0,the,0,,0
Ahlbergs,0,N,Ahlbergs,0,Ahlbergs,0,Ahlbergs,0,Ahlbergs,0,Ahlbergs,0
working,0,N,working,0,working,0,working,0,working,0,,0
relationship,0,N,relationship,0,relationship,0,relationship,0,relationship,0,relationship,0
must,0,V,must,0,must,0,must,0,must,0,,0
have,0,V,have,0,have,0,have,0,have,0,,0
a,0,AT,a,0,a,0,a,0,a,0,,0
lot,0,N,lot,0,lot,0,lot,0,lot,0,lot,0
to,0,TO,to,0,to,0,to,0,to,0,,0
do,0,V,do,0,do,0,do,0,do,0,,0
with,1,PR,with,0,with,0,with,0,with,0,,0
their,0,DP,their,0,their,0,their,0,their,0,,0
long,1,AJ,long,0,long,0,long,0,long,0,,0
and,0,CJ,and,0,and,0,and,0,and,0,,0
happy,1,AJ,happy,0,happy,0,happy,0,happy,0,,0
marriage,0,N,marriage,0,marriage,0,marriage,0,marriage,0,marriage,0
They,0,PN,They,0,They,0,They,0,They,0,,0
see,1,V,see,0,see,0,see,0,see,0,see,0
themselves,0,PN,themselves,0,themselves,0,themselves,0,themselves,0,,0
not,0,XX,not,0,not,0,not,0,not,0,,0
as,0,CJ,as,0,as,0,as,0,as,0,,0
author,0,N,author,0,author,0,author,0,author,0,author,0
and,0,CJ,and,0,and,0,and,0,and,0,,0
illustrator,0,N,illustrator,0,illustrator,0,illustrator,0,illustrator,0,illustrator,0
with,1,PR,with,0,with,0,with,0,with,0,,0
separate,1,AJ,separate,0,separate,0,separate,0,separate,0,,0
roles,1,N,roles,0,roles,0,roles,0,roles,0,roles,0
but,0,CJ,but,0,but,0,but,0,but,0,,0
as,0,PR,as,0,as,0,as,0,as,0,,0
a,0,AT,a,0,a,0,a,0,a,0,,0
partnership,0,N,partnership,0,partnership,0,partnership,1,partnership,1,partnership,0
of,0,PR,of,0,of,0,of,0,of,0,,0
book-makers,0,N,book-makers,0,book-makers,0,book-makers,0,book-makers,0,book-makers,0
contributing,0,V,contributing,0,contributing,0,contributing,0,contributing,0,contributing,0
equally,0,AV,equally,0,equally,0,equally,0,equally,0,,0
to,1,PR,to,0,to,0,to,0,to,0,,0
the,0,AT,the,0,the,0,the,0,the,0,,0
process,0,N,process,0,process,0,process,0,process,0,process,0
By,0,PR,By,0,By,0,By,0,By,0,,0
holding,1,V,holding,0,holding,0,holding,0,holding,0,holding,0
open,1,AJ,open,0,open,0,open,0,open,0,,0
meetings,0,N,meetings,0,meetings,0,meetings,0,meetings,0,meetings,0
for,0,PR,for,0,for,0,for,0,for,0,,0
children,0,N,children,0,children,0,children,0,children,0,children,0
and,0,CJ,and,0,and,0,and,0,and,0,,0
having,0,V,having,0,having,0,having,0,having,0,,0
the,0,AT,the,0,the,0,the,0,the,0,,0
telecottage,0,N,telecottage,0,telecottage,0,telecottage,0,telecottage,0,telecottage,0
above,0,PR,above,0,above,0,above,0,above,0,,0
the,0,AT,the,0,the,0,the,0,the,0,,0
local,0,AJ,local,0,local,0,local,0,local,0,,0
store,0,N,store,0,store,0,store,0,store,0,store,0
people,0,N,people,0,people,0,people,0,people,0,people,0
of,0,PR,of,0,of,0,of,0,of,0,,0
all,0,DT,all,0,all,0,all,0,all,0,,0
walks,1,N,walks,0,walks,0,walks,0,walks,0,walks,1
of,0,PR,of,0,of,0,of,0,of,0,,0
life,0,N,life,0,life,0,life,1,life,0,life,0
came+in,0,V + AV,came+in,0,came+in,0,came+in,0,came+in,0,came+in,0
small-scale,0,AJ,small-scale,0,small-scale,0,small-scale,0,small-scale,0,,0
entrepreneurs,0,N,entrepreneurs,0,entrepreneurs,0,entrepreneurs,0,entrepreneurs,0,entrepreneurs,0
and,0,CJ,and,0,and,0,and,0,and,0,,0
their,0,DP,their,0,their,0,their,0,their,0,,0
spouses,0,N,spouses,0,spouses,0,spouses,0,spouses,0,spouses,0
shop+assistants,0,N + N,shop+assistants,0,shop+assistants,0,shop+assistants,0,shop+assistants,0,shop+assistants,0
craftspeople,0,N,craftspeople,0,craftspeople,0,craftspeople,0,craftspeople,0,craftspeople,0
and,0,CJ,and,0,and,0,and,0,and,0,,0
children,0,N,children,0,children,0,children,0,children,0,children,0
As+if,0,CJ,As+if,0,As+if,0,As+if,0,As+if,0,,0
24-17,0,CR,24-17,0,24-17,0,24-17,0,24-17,0,,0
and,0,CJ,and,0,and,0,and,0,and,0,,0
derisive,0,AJ,derisive,0,derisive,1,derisive,0,derisive,0,derisive,0
chants,1,N,chants,0,chants,0,chants,0,chants,0,chants,0
of,0,PR,of,0,of,0,of,0,of,0,,0
Easy,0,AJ,Easy,0,Easy,0,Easy,0,Easy,0,,0
easy,0,AJ,easy,0,easy,0,easy,0,easy,0,,0
were,0,V,were,0,were,0,were,0,were,0,,0
not,0,XX,not,0,not,0,not,0,not,0,,0
bad,0,AJ,bad,0,bad,0,bad,0,bad,0,,0
enough,0,AV,enough,0,enough,0,enough,0,enough,0,,0
this,1,DT,this,0,this,0,this,0,this,0,,0
humiliation,0,N,humiliation,1,humiliation,1,humiliation,1,humiliation,0,humiliation,0
