word,DELMET,wordcat,word_10,label_10,word_22,label_22,word_21,label_21,word_5,label_5,word_1,label_1
And,0,CJ,And,0,And,0,And,0,And,0,ultimate,1
there,0,EX,there,0,there,0,there,0,there,0,unbundler,1
is,0,V,is,0,is,0,is,0,is,0,defence,0
always,0,AV,always,0,always,0,always,0,always,0,make,0
the,0,AT,the,0,the,0,the,0,the,0,money,0
ultimate,0,AJ,ultimate,0,ultimate,0,ultimate,0,ultimate,1,backers,0
unbundler,0,N,unbundler,0,unbundler,0,unbundler,1,unbundler,0,formed,0
defence,1,N,defence,1,defence,1,defence,0,defence,0,procession,0
that,0,CJ,that,0,that,0,that,0,that,0,coffin,0
he,0,PN,he,0,he,0,he,0,he,0,mountains,0
will,0,V,will,0,will,0,will,0,will,0,capital,0
make,1,V,make,0,make,0,make,0,make,0,Cetinje,0
money,0,N,money,0,money,0,money,0,money,0,reburial,0
for,0,PR,for,0,for,0,for,0,for,0,monastery,0
his,0,DP,his,0,his,0,his,0,his,0,Thomson,0
backers,0,N,backers,0,backers,0,backers,0,backers,0,transferred,0
Then,0,AV,Then,0,Then,0,Then,0,Then,0,Stein,0
they,0,PN,they,0,they,0,they,0,they,0,abstraction,1
formed,0,V,formed,0,formed,1,formed,0,formed,0,music,0
a,0,AT,a,0,a,0,a,0,a,0,life,0
slow,0,AJ,slow,0,slow,0,slow,0,slow,0,sitter,0
procession,0,N,procession,0,procession,1,procession,0,procession,0,drawing,0
behind,0,PR,behind,0,behind,0,behind,0,behind,0,technique,0
the,0,AT,the,0,the,0,the,0,the,0,painter,0
coffin,0,N,coffin,0,coffin,0,coffin,0,coffin,0,employ,0
into,0,PR,into,0,into,0,into,0,into,0,portraits,0
the,0,AT,the,0,the,0,the,0,the,0,combination,0
mountains,0,N,mountains,0,mountains,0,mountains,0,mountains,0,Thomson,0
to,0,PR,to,0,to,0,to,0,to,0,habit,0
the,0,AT,the,0,the,0,the,0,the,0,response,0
old,0,AJ,old,0,old,0,old,0,old,0,subject,0
royal,0,AJ,royal,0,royal,0,royal,0,royal,0,cases,0
capital,0,N,capital,0,capital,0,capital,0,capital,0,Labour,0
of,0,PR,of,0,of,0,of,0,of,0,quangos,0
Cetinje,0,N,Cetinje,0,Cetinje,0,Cetinje,0,Cetinje,0,merge,0
for,0,PR,for,0,for,0,for,0,for,0,existing,0
his,0,DP,his,0,his,0,his,0,his,0,ones,0
reburial,0,N,reburial,0,reburial,0,reburial,0,reburial,0,replace,0
in,0,PR,in,0,in,0,in,0,in,0,bodies,0
the,0,AT,the,0,the,0,the,0,the,0,success,0
monastery,0,N,monastery,0,monastery,0,monastery,0,monastery,0,Ahlbergs,0
there,0,AV,there,0,there,0,there,0,there,0,relationship,0
Just+as+so,0,AV + CJ + AV,Just+as+so,0,Just+as+so,0,Just+as+so,0,Just+as+so,0,lot,0
Thomson,0,N,Thomson,0,Thomson,0,Thomson,0,Thomson,0,marriage,0
transferred,1,V,transferred,1,transferred,1,transferred,0,transferred,0,see,0
Stein,0,N,Stein,0,Stein,0,Stein,0,Stein,0,author,0
literary,0,AJ,literary,0,literary,1,literary,1,literary,1,illustrator,0
abstraction,0,N,abstraction,1,abstraction,1,abstraction,1,abstraction,1,roles,0
to,1,PR,to,0,to,0,to,0,to,0,partnership,0
music,0,N,music,0,music,0,music,0,music,0,book-makers,0
life,2,N,life,0,life,0,life,0,life,0,contributing,0
from,2,PR,from,0,from,0,from,0,from,0,process,0
sitter,2,N,sitter,0,sitter,0,sitter,0,sitter,0,holding,0
drawing,2,V,drawing,0,drawing,0,drawing,0,drawing,0,meetings,0
technique,2,N,technique,0,technique,0,technique,0,technique,0,children,0
painter,2,N,painter,0,painter,0,painter,0,painter,0,telecottage,0
employ,2,V,employ,0,employ,0,employ,0,employ,0,store,0
portraits,2,N,portraits,0,portraits,0,portraits,0,portraits,0,people,0
these,2,DT,these,0,these,0,these,0,these,0,walks,1
unusually,0,AV,unusually,0,unusually,0,unusually,0,unusually,0,life,0
the,0,AT,the,0,the,0,the,0,the,0,came+in,0
of,0,PR,of,0,of,0,of,0,of,0,entrepreneurs,0
the,0,AT,the,0,the,0,the,0,the,0,spouses,0
an,0,AT,an,0,an,0,an,0,an,0,shop+assistants,0
ideal,0,AJ,ideal,0,ideal,1,ideal,0,ideal,1,craftspeople,0
combination,0,N,combination,0,combination,0,combination,0,combination,0,children,0
of,0,PR,of,0,of,0,of,0,of,0,derisive,0
Thomson,0,N,Thomson,0,Thomson,0,Thomson,0,Thomson,0,chants,0
habit,1,N,habit,0,habit,0,habit,0,habit,0,humiliation,0
of,0,PR,of,0,of,0,of,0,of,0,side,0
immediate,1,AJ,immediate,0,immediate,0,immediate,0,immediate,0,start,0
response,1,N,response,0,response,0,response,0,response,0,season,0
with,1,PR,with,0,with,0,with,0,with,0,week,0
an,0,AT,an,0,an,0,an,0,an,0,Pontypool,0
actual,0,AJ,actual,0,actual,0,actual,0,actual,0,going-over,0
subject,1,N,subject,0,subject,0,subject,0,subject,0,players,0
In,1,PR,In,0,In,0,In,0,In,0,Ron,0
some,0,DT,some,0,some,0,some,0,some,0,Todd,0
cases,0,N,cases,0,cases,0,cases,0,cases,0,secretary,0
Labour,0,N,Labour,0,Labour,0,Labour,0,Labour,0,transport,0
quangos,0,N,quangos,0,quangos,0,quangos,0,quangos,0,workers,0
merge,1,V,merge,0,merge,1,merge,0,merge,0,union,0
existing,0,AJ,existing,0,existing,0,existing,0,existing,0,vote,0
ones,0,N,ones,0,ones,0,ones,0,ones,0,defence,0
or,0,CJ,or,0,or,0,or,0,or,0,policy,0
replace,1,V,replace,0,replace,1,replace,0,replace,0,majority,0
well-established,0,AJ,well-established,0,well-established,0,well-established,0,well-established,0,right-wingers,0
bodies,1,N,bodies,0,bodies,0,bodies,0,bodies,0,warned,0
The,0,AT,The,0,The,0,The,0,The,0,leaders,0
success,0,N,success,0,success,0,success,0,success,0,expect,0
of,0,PR,of,0,of,0,of,0,of,0,everybody,0
the,0,AT,the,0,the,0,the,0,the,0,goose-step,1
Ahlbergs,0,N,Ahlbergs,0,Ahlbergs,0,Ahlbergs,0,Ahlbergs,0,direction,0
working,0,N,working,0,working,0,working,0,working,0,policy,0
relationship,0,N,relationship,0,relationship,0,relationship,0,relationship,0,carried,0
must,0,V,must,0,must,0,must,0,must,0,Glasgow,0
have,0,V,have,0,have,0,have,0,have,0,Clocks,0
a,0,AT,a,0,a,0,a,0,a,0,instruments,0
lot,0,N,lot,0,lot,0,lot,0,lot,0,Wednesday,0
