word,DELMET,wordcat,word_1,label_1,word_21,label_21,word_22,label_22,word_5,label_5,word_10,label_10
And,0.0,CJ,ultimate,1,And,0,And,0,And,0,And,0
there,0.0,EX,defence,0,there,0,there,0,there,0,there,0
is,0.0,V,money,0,is,0,is,0,is,0,is,0
always,0.0,AV,backers,0,always,0,always,0,always,0,always,1
the,0.0,AT,formed,0,the,0,the,0,the,0,the,0
ultimate,0.0,AJ,procession,0,ultimate,0,ultimate,1,ultimate,0,ultimate,1
unbundler,0.0,N,coffin,0,unbundler,0,unbundler,0,unbundler,1,unbundler,0
defence,1.0,N,mountains,0,defence,1,defence,0,defence,0,defence,1
that,0.0,CJ,capital,0,that,0,that,0,that,0,that,0
he,0.0,PN,reburial,0,he,0,he,0,he,0,he,0
will,0.0,V,monastery,0,will,0,will,0,will,0,will,0
make,1.0,V,transferred,0,make,0,make,0,make,0,make,1
money,0.0,N,abstraction,0,money,0,money,0,money,0,money,0
for,0.0,PR,music,0,for,0,for,0,for,0,for,0
his,0.0,DP,life,0,his,0,his,0,his,0,his,0
backers,0.0,N,sitter,0,backers,0,backers,0,backers,0,backers,0
Then,0.0,AV,drawing,0,Then,0,Then,0,Then,0,Then,0
they,0.0,PN,technique,0,they,0,they,0,they,0,they,0
formed,0.0,V,painter,0,formed,0,formed,0,formed,0,formed,0
a,0.0,AT,employ,0,a,0,a,0,a,0,a,0
slow,0.0,AJ,portraits,0,slow,0,slow,0,slow,0,slow,1
procession,0.0,N,combination,0,procession,0,procession,0,procession,0,procession,0
behind,0.0,PR,habit,0,behind,0,behind,0,behind,0,behind,0
the,0.0,AT,response,0,the,0,the,0,the,0,the,0
coffin,0.0,N,subject,0,coffin,0,coffin,0,coffin,0,coffin,0
into,0.0,PR,cases,0,into,0,into,0,into,0,into,0
the,0.0,AT,quangos,0,the,0,the,0,the,0,the,0
mountains,0.0,N,merge,0,mountains,0,mountains,0,mountains,0,mountains,0
to,0.0,PR,existing,0,to,0,to,0,to,0,to,0
the,0.0,AT,ones,0,the,0,the,0,the,0,the,0
old,0.0,AJ,replace,0,old,0,old,0,old,0,old,1
royal,0.0,AJ,bodies,0,royal,0,royal,0,royal,0,royal,0
capital,0.0,N,success,0,capital,0,capital,0,capital,0,capital,0
of,0.0,PR,relationship,0,of,0,of,0,of,0,of,0
