prompt_id,Features,0 shot,1-n shot,generation
1,Bare task description,"It's a conventional metaphor detection task.  List words from every sentence from a set of unrelated sentences, one word per row. Mark conventional metaphors with ':1'. 
Sentences:{text}","It's a conventional metaphor detection task. Learn from the examples:

Example 1: ""Time flies.""
Time
flies:1

Then list words from a new text, one word per row. Mark conventional metaphors with ':1'. 
Text:{text}",ChatGPT4
2,Bare task description,"We are focusing on detecting conventional metaphors within sentences. Take each sentence I provide, and split it into separate words, each on a new line. If a word forms part of a conventional metaphor, please mark it with ':1'. 

Now, examine the following sentence:{text}","We are focusing on detecting conventional metaphors within sentences. Take each sentence I provide, and split it into separate words, each on a new line. If a word forms part of a conventional metaphor, please mark it with ':1'. Use the following examples as reference:

Example 1: ""Time flies.""
Time
flies:1

Now, examine the following sentence:{text}",ChatGPT4
3,Bare task description,"Please process the following text to detect conventional metaphors. For each word in the text, list it on a new line. If the word is part of a conventional metaphor, mark it with ':1'. Otherwise, do not mark it.

Text: {text}","Before you process the main text, please refer to the following examples to better understand the conventional metaphor detection:

Example 1: ""Time flies.""
Time
flies:1

Now, based on the above examples, process the following text to detect conventional metaphors. For each word in the text, list it on a new line. If the word is part of a conventional metaphor, mark it with ':1'. Otherwise, do not mark it.

Text: {text}",ChatGPT44
4,Bare task description,"Your task is to detect conventional metaphors. Proceed as follows:

Dissect the text provided and write down each word separately, one word per row. Mark any conventional metaphorical word with "":1"".
Text: {text}","Your task is to detect conventional metaphors. Proceed as follows:

Step 1: Learn from these examples with conventional metaphors indicated by "":1"".
Time flies.
Time
flies:1

Step 2: Dissect the text provided and write down each word separately, one word per row. Mark any conventional metaphorical word with "":1"".
Text: {text}",ChatGPT4
5,Bare task description,"Analyze the given text. Only output each word separately. If a word is a conventional metaphor, append ':1' to it.

Text:{text}","Please train on the provided examples, each tagged to highlight conventional metaphor usage. 

Example1:Time flies.
Time
flies:1

After training, analyze the given text. Only output each word separately. If a word is a conventional metaphor, append ':1' to it.

Text:{text}",ChatGPT4
6,Bare task description,"For the purpose of metaphor detection,you will receive a text. Decompose this text into its constituent words, placing each on a separate line. Append ':1' to any word that constitutes a conventional metaphor.

Text:{text}","For the purpose of metaphor detection, you will be supplied with annotated texts where conventional metaphors are marked. Please commit these examples to your learning algorithm. 

Example 1:
Text: ""Time flies""
Time
flies:1

Subsequently, you will receive an unannotated text. Decompose this sentence into its constituent words, placing each on a separate line. Append ':1' to any word that constitutes a conventional metaphor.

Text:{text}",ChatGPT4
7,Bare task description + instruction steps + feedback loop,"Note: Don’t output step 1 but only output results from step 2.
Step 1: First attempt: 
Go through every word in a given text. Find out conventional metaphorical words

Text: {text}

Step2: Second attempt: 
Review the conventional metaphorical words internally. After confirmation, list each word from the provided text, one word per row. Mark potential conventional metaphors with ':1'.","Note: Don’t output step 2 but only output results from step 3.
 
Step 1: Review Examples
Before processing the main text, review the following examples to grasp the conventional metaphor detection:

Example 1:
Text: ""Time flies""
Time
flies:1

Step 2:First attempt: 
Go through every word in a given text. Find out conventional metaphorical words

Text: {text}

Step3: Second attempt: 
Review the conventional metaphorical words internally. After confirmation, list each word from the provided text, one word per row. Mark potential conventional metaphors with ':1'.",manual+ChatGPT4
8,background information ,"Your mission is to detect metaphors. Remember, not every word with a non-literal meaning is a metaphor, but only those that have been conventionalized in language.

You will be given a new text. List every word from the provided text. Words identified as conventional metaphors should be followed by "":1"", and each word or word:1 should be presented on a separate line.

Text: {text}","Your mission is to detect metaphors. Remember, not every word with a non-literal meaning is a metaphor, but only those that have been conventionalized in language.

First learn from examples, in which conventional metaphorical words are appended with "":1"":

Example1:
""Time flies""
Time
flies:1

Then you will be given a new text. List every word from the provided text. Words identified as conventional metaphors should be followed by "":1"", and each word or word:1 should be presented on a separate line.

Text: {text}",ChatGPT4
9,Word classification + bare task description,"Your task is to identify conventional metaphors in a given sentence and list each word per row, labeling those that are part of a conventional metaphor with a "":1"".  Other words (non metaphors or novel metaphors) should be listed without any label.

Now, analyze the following sentence and produce the output in the specified format:

{text}","Your task is to identify conventional metaphors in a given sentence and list each word per row, labeling those that are part of a conventional metaphor with a "":1"". Other words (non metaphors or novel metaphors) should be listed without any label.

Example 1:
Text: ""Time flies""
Time
flies:1

Learn from the examples above. Now, analyze the following text and produce the output in the specified format:

{text}",ChatGPT4 + manual revision
10,Bare task description + word classification,"Review the text provided and list out all the words, one word per row. For any word that is a part of a commonly used metaphor, append "":1"" immediately after the word. Leave non-metaphorical and novel metaphorical words unchanged. Ensure you preserve the original sequence of words from the sentence.


Now, please process the following text:

{text}
","Review the text provided and list out all the words, one word per row. For any word that is a part of a commonly used metaphor, append "":1"" immediately after the word. Leave non-metaphorical and novel metaphorical words unchanged. Ensure you preserve the original sequence of words from the sentence.

Example for Clarification:

Time flies.
Time
flies:1

Now, please process the following text:

{text}",ChatGPT4
