word,conv,word_10,label_10,word_22,label_22,word_5,label_5,word_21,label_21,word_1,label_1
Inflation,1,Inflation,0,Inflation,1,Inflation,1,Inflation,1,Inflation,1
has,0,has,1,has,0,has,0,has,0,has,0
reached,1,reached,1,reached,1,reached,0,reached,1,reached,1
the,0,the,0,the,0,the,0,the,0,the,0
North,0,North,0,North,0,North,0,North,0,North,0
Pole,0,Pole,0,Pole,1,Pole,0,Pole,1,Pole,0
as,0,as,0,as,0,as,0,as,0,as,0
a,0,a,0,a,0,a,0,a,0,a,0
Santa,0,Santa,0,Santa,0,Santa,0,Santa,0,Santa,0
shortage,0,shortage,0,shortage,0,shortage,0,shortage,0,shortage,0
looms,1,looms,1,looms,1,looms,0,looms,0,looms,0
Over,1,Over,0,Over,0,Over,0,Over,0,Over,0
the,0,the,0,the,0,the,0,the,0,the,0
last,0,last,0,last,0,last,0,last,0,last,0
year,0,year,0,year,0,year,0,year,0,year,0
as,0,as,0,as,0,as,0,as,0,as,0
vaccines,0,vaccines,0,vaccines,0,vaccines,0,vaccines,0,vaccines,0
and,0,and,0,and,0,and,0,and,0,and,0
COVID,0,COVID,0,COVID,0,COVID,0,COVID,0,COVID,0
treatments,0,treatments,0,treatments,0,treatments,0,treatments,0,treatments,0
have,0,have,0,have,0,have,0,have,0,have,0
become,0,become,0,become,0,become,0,become,0,become,0
more,0,more,0,more,0,more,0,more,0,more,0
available,0,available,0,available,0,available,0,available,0,available,0
and,0,and,0,and,0,and,0,and,0,and,0
society,0,society,0,society,0,society,0,society,0,society,0
has,0,has,0,has,0,has,0,has,0,has,0
gotten,0,gotten,1,gotten,0,gotten,0,gotten,0,gotten,0
closer,1,closer,1,closer,0,closer,0,closer,0,closer,0
to,0,to,0,to,0,to,0,to,0,to,0
normal,0,normal,0,normal,0,normal,0,normal,0,normal,0
both,0,both,0,both,0,both,0,both,0,both,0
Hire,0,Hire,0,Hire,0,Hire,0,Hire,0,Hire,0
Santa,0,Santa,0,Santa,0,Santa,0,Santa,0,Santa,0
and,0,and,0,and,0,and,0,and,0,and,0
the,0,the,0,the,0,the,0,the,0,the,0
International,0,International,0,International,0,International,0,International,0,International,0
Brotherhood,0,Brotherhood,0,Brotherhood,0,Brotherhood,0,Brotherhood,0,Brotherhood,0
of,0,of,0,of,0,of,0,of,0,of,0
Real-Bearded,0,Real-Bearded,0,Real-Bearded,0,Real-Bearded,0,Real-Bearded,0,Real-Bearded,0
Santas,0,Santas,0,Santas,0,Santas,0,Santas,0,Santas,0
have,0,have,0,have,0,have,0,have,0,have,0
worked,0,worked,0,worked,0,worked,0,worked,0,worked,0
to,0,to,0,to,0,to,0,to,0,to,0
rebuild,1,rebuild,1,rebuild,1,rebuild,0,rebuild,1,rebuild,0
the,0,the,0,the,0,the,0,the,0,the,0
Santa,0,Santa,0,Santa,0,Santa,0,Santa,0,Santa,0
workforce,1,workforce,0,workforce,0,workforce,0,workforce,0,workforce,0
We,0,We,0,We,0,We,0,We,0,We,0
here,0,here,0,here,0,here,0,here,0,here,0
at,0,at,0,at,0,at,0,at,0,at,0
Hire,0,Hire,0,Hire,0,Hire,0,Hire,0,Hire,0
Santa,0,Santa,0,Santa,0,Santa,0,Santa,0,Santa,0
have,0,have,0,have,0,have,0,have,0,have,0
been,0,been,0,been,0,been,0,been,0,been,0
working,0,working,1,working,0,working,0,working,0,working,0
very,0,very,0,very,0,very,0,very,0,very,0
hard,0,hard,0,hard,0,hard,0,hard,0,hard,0
to,0,to,0,to,0,to,0,to,0,to,0
replenish,0,replenish,0,replenish,1,replenish,0,replenish,0,replenish,0
the,0,the,0,the,0,the,0,the,0,the,0
number,0,number,0,number,0,number,0,number,0,number,0
of,0,of,0,of,0,of,0,of,0,of,0
Santas,0,Santas,0,Santas,0,Santas,0,Santas,0,Santas,0
Allen,0,Allen,0,Allen,0,Allen,0,Allen,0,Allen,0
says,0,says,0,says,0,says,0,says,0,says,0
I,0,I,0,I,0,I,0,I,0,I,0
've,0,'ve,0,'ve,0,'ve,0,'ve,0,'ve,0
traveled,0,traveled,0,traveled,0,traveled,0,traveled,0,traveled,0
the,0,the,0,the,0,the,0,the,0,the,0
country,0,country,0,country,0,country,0,country,0,country,0
this,0,this,0,this,0,this,0,this,0,this,0
last,0,last,0,last,0,last,0,last,0,last,0
year,0,year,0,year,0,year,0,year,0,year,0
going,0,going,0,going,0,going,0,going,0,going,0
to,0,to,0,to,0,to,0,to,0,to,0
Santa,0,Santa,0,Santa,0,Santa,0,Santa,0,Santa,0
schools,0,schools,0,schools,0,schools,0,schools,0,schools,0
speaking,0,speaking,0,speaking,0,speaking,0,speaking,0,speaking,0
at,0,at,0,at,0,at,0,at,0,at,0
conventions,0,conventions,0,conventions,0,conventions,0,conventions,0,conventions,0
and,0,and,0,and,0,and,0,and,0,and,0
really,0,really,0,really,0,really,0,really,0,really,0
trying,0,trying,0,trying,0,trying,0,trying,0,trying,0
to,0,to,0,to,0,to,0,to,0,to,0
connect,1,connect,1,connect,1,connect,0,connect,1,connect,0
with,0,with,0,with,0,with,0,with,0,with,0
the,0,the,0,the,0,the,0,the,0,the,0
Santa,0,Santa,0,Santa,0,Santa,0,Santa,0,Santa,0
community,1,community,0,community,0,community,0,community,0,community,0
to,0,to,0,to,0,to,0,to,0,to,0
let,0,let,0,let,0,let,0,let,0,let,0
them,0,them,0,them,0,them,0,them,0,them,0
know,0,know,0,know,0,know,0,know,0,know,0
the,0,the,0,the,0,the,0,the,0,the,0
advantages,0,advantages,0,advantages,0,advantages,0,advantages,0,advantages,0
of,0,of,0,of,0,of,0,of,0,of,0
being,0,being,0,being,0,being,0,being,0,being,0
a,0,a,0,a,0,a,0,a,0,a,0
professional,0,professional,0,professional,0,professional,0,professional,0,professional,0
Santa,0,Santa,0,Santa,0,Santa,0,Santa,0,Santa,0
as,0,as,0,as,0,as,0,as,0,as,0
well,0,well,0,well,0,well,0,well,0,well,0
as,0,as,0,as,0,as,0,as,0,as,0
working,0,working,1,working,0,working,0,working,0,working,0
with,0,with,0,with,0,with,0,with,0,with,0
Hire,0,Hire,0,Hire,0,Hire,0,Hire,0,Hire,0
Santa,0,Santa,0,Santa,0,Santa,0,Santa,0,Santa,0
Classic,0,Classic,0,Classic,0,Classic,0,Classic,0,Classic,0
economic,0,economic,0,economic,0,economic,0,economic,0,economic,0
theory,0,theory,0,theory,0,theory,0,theory,0,theory,0
suggests,0,suggests,0,suggests,0,suggests,0,suggests,0,suggests,0
that,0,that,0,that,0,that,0,that,0,that,0
if,0,if,0,if,0,if,0,if,0,if,0
there,0,there,0,there,0,there,0,there,0,there,0
's,0,'s,0,'s,0,'s,0,'s,0,'s,0
a,0,a,0,a,0,a,0,a,0,a,0
shortage,0,shortage,0,shortage,0,shortage,0,shortage,0,shortage,0
of,0,of,0,of,0,of,0,of,0,of,0
something,0,something,0,something,0,something,0,something,0,something,0
there,0,there,0,there,0,there,0,there,0,there,0
's,0,'s,0,'s,0,'s,0,'s,0,'s,0
a,0,a,0,a,0,a,0,a,0,a,0
simple,0,simple,0,simple,0,simple,0,simple,0,simple,0
solution,0,solution,1,solution,1,solution,,solution,1,solution,
raise,1,raise,0,raise,0,raise,0,raise,0,raise,0
the,0,the,0,the,0,the,0,the,0,the,0
price,0,price,0,price,0,price,0,price,0,price,0
In,0,In,0,In,0,In,0,In,0,In,0
this,0,this,0,this,0,this,0,this,0,this,0
case,1,case,0,case,0,case,0,case,0,case,0
that,0,that,0,that,0,that,0,that,0,that,0
means,0,means,0,means,0,means,0,means,0,means,0
raising,1,raising,0,raising,0,raising,0,raising,0,raising,0
Santa,0,Santa,0,Santa,0,Santa,0,Santa,0,Santa,0
's,0,'s,0,'s,0,'s,0,'s,0,'s,0
wages,0,wages,0,wages,0,wages,0,wages,0,wages,0
which,0,which,0,which,0,which,0,which,0,which,0
should,0,should,0,should,0,should,0,should,0,should,0
convince,0,convince,0,convince,1,convince,0,convince,0,convince,0
more,0,more,0,more,0,more,0,more,0,more,0
people,0,people,0,people,0,people,0,people,0,people,0
to,0,to,0,to,0,to,0,to,0,to,0
grow,0,grow,0,grow,0,grow,0,grow,0,grow,0
a,0,a,0,a,0,a,0,a,0,a,0
white,0,white,0,white,0,white,0,white,0,white,0
beard,0,beard,0,beard,0,beard,0,beard,0,beard,0
and,0,and,0,and,0,and,0,and,0,and,0
don,0,don,0,don,0,don,0,don,0,don,0
a,0,a,0,a,0,a,0,a,0,a,0
red,0,red,0,red,0,red,0,red,0,red,0
suit,0,suit,0,suit,0,suit,0,suit,0,suit,0
And,0,And,0,And,0,And,0,And,0,And,0
indeed,0,indeed,0,indeed,0,indeed,0,indeed,0,indeed,0
Arnold,0,Arnold,0,Arnold,0,Arnold,0,Arnold,0,Arnold,0
says,0,says,0,says,0,says,0,says,0,says,0
many,0,many,0,many,0,many,0,many,0,many,0
Santas,0,Santas,0,Santas,0,Santas,0,Santas,0,Santas,0
are,0,are,0,are,0,are,0,are,0,are,0
earning,0,earning,0,earning,0,earning,0,earning,0,earning,0
more,0,more,0,more,0,more,0,more,0,more,0
this,0,this,0,this,0,this,0,this,0,this,0
year,0,year,0,year,0,year,0,year,0,year,0
I,0,I,0,I,0,I,0,I,0,I,0
would,0,would,0,would,0,would,0,would,0,would,0
say,0,say,0,say,0,say,0,say,0,say,0
generally,0,generally,0,generally,0,generally,0,generally,0,generally,0
that,0,that,0,that,0,that,0,that,0,that,0
the,0,the,0,the,0,the,0,the,0,the,0
majority,0,majority,0,majority,0,majority,0,majority,0,majority,0
of,0,of,0,of,0,of,0,of,0,of,0
our,0,our,0,our,0,our,0,our,0,our,0
members,0,members,0,members,0,members,0,members,0,members,0
raised,1,raised,0,raised,0,raised,0,raised,0,raised,0
their,0,their,0,their,0,their,0,their,0,their,0
prices,0,prices,0,prices,0,prices,0,prices,0,prices,0
somewhere,0,somewhere,0,somewhere,0,somewhere,0,somewhere,0,somewhere,0
between,0,between,0,between,0,between,0,between,0,between,0
10,0,10,0,10,0,10,0,10,0,10,0
and,0,and,0,and,0,and,0,and,0,and,0
