word,DELMET,wordcat,word_10,label_10,word_22,label_22,word_21,label_21,word_5,label_5,word_1,label_1
And,0.0,CJ,And,0,And,0,And,0,And,0,ultimate,1
there,0.0,EX,there,0,there,0,there,0,there,0,defence,0
is,0.0,V,is,0,is,0,is,0,is,0,money,0
always,0.0,AV,always,1,always,0,always,0,always,0,backers,0
the,0.0,AT,the,0,the,0,the,0,the,0,formed,0
ultimate,0.0,AJ,ultimate,1,ultimate,1,ultimate,0,ultimate,0,procession,0
unbundler,0.0,N,unbundler,0,unbundler,0,unbundler,0,unbundler,1,coffin,0
defence,1.0,N,defence,1,defence,0,defence,1,defence,0,mountains,0
that,0.0,CJ,that,0,that,0,that,0,that,0,capital,0
he,0.0,PN,he,0,he,0,he,0,he,0,reburial,0
will,0.0,V,will,0,will,0,will,0,will,0,monastery,0
make,1.0,V,make,1,make,0,make,0,make,0,transferred,0
money,0.0,N,money,0,money,0,money,0,money,0,abstraction,0
for,0.0,PR,for,0,for,0,for,0,for,0,music,0
his,0.0,DP,his,0,his,0,his,0,his,0,life,0
backers,0.0,N,backers,0,backers,0,backers,0,backers,0,sitter,0
Then,0.0,AV,Then,0,Then,0,Then,0,Then,0,drawing,0
they,0.0,PN,they,0,they,0,they,0,they,0,technique,0
formed,0.0,V,formed,0,formed,0,formed,0,formed,0,painter,0
a,0.0,AT,a,0,a,0,a,0,a,0,employ,0
slow,0.0,AJ,slow,1,slow,0,slow,0,slow,0,portraits,0
procession,0.0,N,procession,0,procession,0,procession,0,procession,0,combination,0
behind,0.0,PR,behind,0,behind,0,behind,0,behind,0,habit,0
the,0.0,AT,the,0,the,0,the,0,the,0,response,0
coffin,0.0,N,coffin,0,coffin,0,coffin,0,coffin,0,subject,0
into,0.0,PR,into,0,into,0,into,0,into,0,cases,0
the,0.0,AT,the,0,the,0,the,0,the,0,quangos,0
mountains,0.0,N,mountains,0,mountains,0,mountains,0,mountains,0,merge,0
to,0.0,PR,to,0,to,0,to,0,to,0,existing,0
the,0.0,AT,the,0,the,0,the,0,the,0,ones,0
old,0.0,AJ,old,1,old,0,old,0,old,0,replace,0
royal,0.0,AJ,royal,0,royal,0,royal,0,royal,0,bodies,0
capital,0.0,N,capital,0,capital,0,capital,0,capital,0,success,0
of,0.0,PR,of,0,of,0,of,0,of,0,relationship,0
Cetinje,0.0,N,Cetinje,0,Cetinje,0,Cetinje,0,Cetinje,0,lot,0
for,0.0,PR,for,0,for,0,for,0,for,0,marriage,0
his,0.0,DP,his,0,his,0,his,0,his,0,themselves,0
reburial,0.0,N,reburial,0,reburial,0,reburial,0,reburial,0,author,0
in,0.0,PR,in,0,in,0,in,0,in,0,illustrator,0
the,0.0,AT,the,0,the,0,the,0,the,0,separate,0
monastery,0.0,N,monastery,0,monastery,0,monastery,0,monastery,0,roles,0
there,0.0,AV,there,0,there,0,there,0,there,0,partnership,0
Just+as+so,0.0,AV + CJ + AV,Just+as+so,0,Just+as+so,0,Just+as+so,0,Just+as+so,0,book-makers,0
Thomson,0.0,N,Thomson,0,Thomson,0,Thomson,0,Thomson,0,contributing,0
transferred,1.0,V,transferred,0,transferred,0,transferred,0,transferred,0,process,0
Stein,0.0,N,Stein,0,Stein,0,Stein,0,Stein,0,holding,0
literary,0.0,AJ,literary,0,literary,1,literary,0,literary,0,meetings,0
abstraction,0.0,N,abstraction,0,abstraction,0,abstraction,1,abstraction,1,children,0
to,1.0,PR,to,0,to,0,to,0,to,0,having,0
music,0.0,N,music,0,music,0,music,0,music,0,telecottage,0
life,2.0,N,life,1,life,0,life,0,life,0,store,0
from,2.0,PR,from,0,from,0,from,0,from,0,people,0
sitter,2.0,N,sitter,0,sitter,0,sitter,0,sitter,0,life,0
drawing,2.0,V,drawing,0,drawing,0,drawing,0,drawing,0,entrepreneurs,0
technique,2.0,N,technique,0,technique,0,technique,0,technique,0,spouses,0
painter,2.0,N,painter,0,painter,0,painter,0,painter,0,shop+assistants,0
employ,2.0,V,employ,0,employ,0,employ,0,employ,0,craftspeople,0
portraits,2.0,N,portraits,0,portraits,0,portraits,0,portraits,0,children,0
these,2.0,DT,these,0,these,0,these,0,these,0,chants,0
unusually,0.0,AV,unusually,0,unusually,0,unusually,0,unusually,0,humiliation,0
