word,DELMET,wordcat,word_22,label_22,word_5,label_5,word_1,label_1,word_10,label_10,word_21,label_21
And,0,CJ,And,0,And,0,ultimate,1,And,0,And,0
there,0,EX,there,0,there,0,defence,0,there,0,there,0
is,0,V,is,0,is,0,money,0,is,0,is,0
always,0,AV,always,0,always,1,backers,0,always,0,always,0
the,0,AT,the,0,the,0,slow,1,the,0,the,0
ultimate,0,AJ,ultimate,0,ultimate,1,procession,0,ultimate,0,ultimate,0
unbundler,0,N,unbundler,0,unbundler,0,coffin,0,unbundler,0,unbundler,0
defence,1,N,defence,1,defence,0,mountains,0,defence,1,defence,1
that,0,CJ,that,0,that,0,capital,0,that,0,that,0
he,0,PN,he,0,he,0,reburial,0,he,0,he,0
will,0,V,will,0,will,0,monastery,0,will,0,will,0
make,1,V,make,0,make,0,Thomson,0,make,0,make,0
money,0,N,money,0,money,0,transferred,0,money,1,money,0
for,0,PR,for,0,for,0,abstraction,0,for,0,for,0
his,0,DP,his,0,his,0,music,0,his,0,his,0
backers,0,N,backers,0,backers,0,life,0,backers,0,backers,0
Then,0,AV,Then,0,Then,0,sitter,0,Then,0,Then,0
they,0,PN,they,0,they,0,drawing,0,they,0,they,0
formed,0,V,formed,0,formed,0,technique,0,formed,0,formed,0
a,0,AT,a,0,a,0,painter,0,a,0,a,0
slow,0,AJ,slow,0,slow,0,employ,0,slow,0,slow,0
procession,0,N,procession,0,procession,0,portraits,0,procession,0,procession,0
behind,0,PR,behind,0,behind,0,ideal,1,behind,0,behind,0
the,0,AT,the,0,the,0,combination,0,the,0,the,0
coffin,0,N,coffin,0,coffin,0,habit,0,coffin,0,coffin,0
into,0,PR,into,0,into,0,response,0,into,0,into,0
the,0,AT,the,0,the,0,subject,0,the,0,the,0
mountains,0,N,mountains,0,mountains,0,Labour,0,mountains,0,mountains,0
to,0,PR,to,0,to,0,quangos,0,to,0,to,0
the,0,AT,the,0,the,0,merge,0,the,0,the,0
old,0,AJ,old,0,old,0,existing,0,old,0,old,0
royal,0,AJ,royal,0,royal,0,ones,0,royal,0,royal,0
capital,0,N,capital,0,capital,0,replace,0,capital,0,capital,0
of,0,PR,of,0,of,0,bodies,0,of,0,of,0
Cetinje,0,N,Cetinje,0,Cetinje,0,success,0,Cetinje,0,Cetinje,0
for,0,PR,for,0,for,0,Ahlbergs,0,for,0,for,0
his,0,DP,his,0,his,0,working,1,his,0,his,0
reburial,0,N,reburial,0,reburial,0,relationship,0,reburial,0,reburial,0
in,0,PR,in,0,in,0,lot,0,in,0,in,0
the,0,AT,the,0,the,0,marriage,0,the,0,the,0
monastery,0,N,monastery,0,monastery,0,author,0,monastery,0,monastery,0
there,0,AV,there,0,there,0,illustrator,0,there,0,there,0
Just+as+so,0,AV + CJ + AV,Just+as+so,0,Just+as+so,0,separate,0,Just+as+so,0,Just+as+so,0
Thomson,0,N,Thomson,0,Thomson,0,roles,0,Thomson,0,Thomson,0
transferred,1,V,transferred,0,transferred,0,partnership,0,transferred,0,transferred,1
Stein,0,N,Stein,0,Stein,0,book-makers,0,Stein,0,Stein,0
literary,0,AJ,literary,0,literary,0,contributing,0,literary,0,literary,0
abstraction,0,N,abstraction,1,abstraction,0,equally,0,abstraction,0,abstraction,0
to,1,PR,to,0,to,0,process,0,to,0,to,0
music,0,N,music,0,music,0,holding,0,music,0,music,0
life,2,N,life,0,life,0,meetings,0,life,0,life,0
from,2,PR,from,0,from,0,children,0,from,0,from,0
sitter,2,N,sitter,0,sitter,0,having,0,sitter,0,sitter,0
drawing,2,V,drawing,0,drawing,0,telecottage,0,drawing,0,drawing,0
technique,2,N,technique,0,technique,0,store,0,technique,0,technique,0
painter,2,N,painter,0,painter,0,people,0,painter,0,painter,0
employ,2,V,employ,0,employ,0,walks,1,employ,0,employ,0
portraits,2,N,portraits,0,portraits,0,life,0,portraits,0,portraits,0
these,2,DT,these,0,these,0,came,0,these,0,these,0
unusually,0,AV,unusually,0,unusually,0,entrepreneurs,0,unusually,0,unusually,0
the,0,AT,the,0,the,0,spouses,0,the,0,the,0
of,0,PR,of,0,of,0,shop,0,of,0,of,0
the,0,AT,the,0,the,0,assistants,0,the,0,the,0
an,0,AT,an,0,an,0,craftspeople,0,an,0,an,0
ideal,0,AJ,ideal,0,ideal,0,children,0,ideal,0,ideal,0
combination,0,N,combination,0,combination,0,chants,0,combination,0,combination,0
of,0,PR,of,0,of,0,humiliation,0,of,0,of,0
Thomson,0,N,Thomson,0,Thomson,0,side,0,Thomson,0,Thomson,0
habit,1,N,habit,0,habit,0,start,0,habit,0,habit,0
of,0,PR,of,0,of,0,season,0,of,0,of,0
immediate,1,AJ,immediate,0,immediate,0,going-over,0,immediate,0,immediate,0
response,1,N,response,0,response,0,players,0,response,0,response,1
with,1,PR,with,0,with,0,Ron,0,with,0,with,0
an,0,AT,an,0,an,0,Todd,0,an,0,an,0
actual,0,AJ,actual,0,actual,0,general,0,actual,0,actual,0
subject,1,N,subject,0,subject,0,secretary,0,subject,0,subject,0
In,1,PR,In,0,In,0,transport,0,In,0,In,0
some,0,DT,some,0,some,0,workers,0,some,0,some,0
cases,0,N,cases,0,cases,0,union,0,cases,0,cases,0
Labour,0,N,Labour,0,Labour,0,vote,0,Labour,0,Labour,0
quangos,0,N,quangos,0,quangos,0,defence,0,quangos,0,quangos,0
merge,1,V,merge,0,merge,0,policy,0,merge,0,merge,0
existing,0,AJ,existing,0,existing,0,majority,0,existing,0,existing,0
ones,0,N,ones,0,ones,0,right-wingers,0,ones,0,ones,0
or,0,CJ,or,0,or,0,warned,0,or,0,or,0
replace,1,V,replace,0,replace,0,party,0,replace,0,replace,0
well-established,0,AJ,well-established,0,well-established,0,leaders,0,well-established,0,well-established,0
bodies,1,N,bodies,0,bodies,0,expect,0,bodies,0,bodies,0
The,0,AT,The,0,The,0,everybody,0,The,0,The,0
success,0,N,success,0,success,0,goose-step,1,success,1,success,1
of,0,PR,of,0,of,0,direction,0,of,0,of,0
the,0,AT,the,0,the,0,policy,0,the,0,the,0
Ahlbergs,0,N,Ahlbergs,0,Ahlbergs,0,carried,0,Ahlbergs,0,Ahlbergs,0
working,0,N,working,0,working,0,Glasgow,0,working,0,working,0
relationship,0,N,relationship,0,relationship,0,Clocks,0,relationship,0,relationship,0
must,0,V,must,0,must,0,scientific,0,must,0,must,0
have,0,V,have,0,have,0,instruments,0,have,0,have,0
a,0,AT,a,0,a,0,Wednesday,0,a,0,a,0
lot,0,N,lot,0,lot,0,sell,0,lot,0,lot,0
to,0,TO,to,0,to,0,house,0,to,0,to,0
do,0,V,do,0,do,0,cottage,0,do,0,do,0
with,1,PR,with,0,with,0,centre,0,with,0,with,0
their,0,DP,their,0,their,0,town,0,their,0,their,0
long,1,AJ,long,0,long,0,South,0,long,0,long,0
and,0,CJ,and,0,and,0,Molton,0,and,0,and,0
happy,1,AJ,happy,0,happy,1,cottage,0,happy,0,happy,0
marriage,0,N,marriage,0,marriage,0,guide,0,marriage,0,marriage,0
They,0,PN,They,0,They,0,price,0,They,0,They,0
see,1,V,see,0,see,0,lots,0,see,0,see,0
themselves,0,PN,themselves,0,themselves,0,sale,0,themselves,0,themselves,0
not,0,XX,not,0,not,0,auction,0,not,0,not,0
as,0,CJ,as,0,as,0,Bristol,0,as,0,as,0
author,0,N,author,0,author,0,West,0,author,0,author,0
and,0,CJ,and,0,and,0,Property,0,and,0,and,0
illustrator,0,N,illustrator,0,illustrator,0,Services,0,illustrator,0,illustrator,0
with,1,PR,with,0,with,0,hundred,0,with,0,with,0
separate,1,AJ,separate,0,separate,0,building,0,separate,0,separate,0
roles,1,N,roles,0,roles,0,society,0,roles,0,roles,0
but,0,CJ,but,0,but,0,subsidiary,0,but,0,but,0
