word,conv,word_19,label_19,word_12,label_12,word_18,label_18,word_24,label_24,word_3,label_3,word_14,label_14,word_10,label_10,word_11,label_11,word_15,label_15,word_8,label_8,word_1,label_1,word_7,label_7,word_5,label_5,word_21,label_21,word_9,label_9,word_6,label_6,word_13,label_13,word_25,label_25,word_17,label_17,word_16,label_16,word_23,label_23,word_4,label_4,word_22,label_22,word_20,label_20,word_2,label_2
Inflation,1.0,Inflation,1,Inflation,0,Inflation,0,Inflation,0,Inflation,0,Inflation,1,Inflation,0,Inflation,0,Inflation,0,Inflation,0,Inflation,0,Inflation,0,Inflation,0,Inflation,1,Inflation,0,Inflation,0,Inflation,0,Inflation,0,Inflation,0,Inflation,0,Inflation,0,Inflation,0,Inflation,1,Inflation,0,Inflation,1
has,0.0,has,0,has,0,has,0,has,0,has,0,has,0,has,0,has,0,has,0,has,0,has,0,has,0,has,0,has,0,has,0,has,0,has,0,has,0,has,0,has,0,has,0,has,0,has,0,has,0,has,0
reached,1.0,reached,1,reached,1,reached,1,reached,1,reached,1,reached,1,reached,0,reached,1,reached,1,reached,1,reached,1,reached,1,reached,1,reached,1,reached,1,reached,1,reached,1,reached,1,reached,1,reached,1,reached,1,reached,1,reached,1,reached,1,reached,1
the,0.0,the,0,the,0,the,0,the,0,the,0,the,0,the,0,the,0,the,0,the,0,the,0,the,0,the,0,the,0,the,0,the,0,the,0,the,0,the,0,the,0,the,0,the,0,the,0,the,0,the,0
North,0.0,North,0,North,0,North,0,North,0,North,0,North,1,North,0,North,1,North,1,North,0,North,0,North,0,North,0,North,0,North,1,North,0,North,0,North,0,North,0,North,0,North,0,North,0,North,0,North,1,North,0
Pole,0.0,Pole,0,Pole,0,Pole,0,Pole,0,Pole,0,Pole,1,Pole,0,Pole,0,Pole,1,Pole,0,Pole,0,Pole,1,Pole,0,Pole,0,Pole,1,Pole,1,Pole,0,Pole,1,Pole,0,Pole,0,Pole,0,Pole,0,Pole,1,Pole,1,Pole,0
as,0.0,as,0,as,1,as,0,as,0,as,0,as,0,as,0,as,0,as,0,as,0,as,1,as,0,as,0,as,0,as,0,as,0,as,1,as,0,as,0,as,0,as,1,as,0,as,0,as,0,as,0
a,0.0,a,0,a,0,a,0,a,0,a,0,a,0,a,0,a,0,a,0,a,0,a,0,a,0,a,0,a,0,a,0,a,0,a,0,a,0,a,0,a,0,a,0,a,0,a,0,a,0,a,0
Santa,0.0,Santa,0,Santa,0,Santa,0,Santa,0,Santa,0,Santa,0,Santa,0,Santa,0,Santa,0,Santa,0,Santa,0,Santa,0,Santa,0,Santa,0,Santa,0,Santa,0,Santa,0,Santa,0,Santa,0,Santa,0,Santa,0,Santa,0,Santa,0,Santa,0,Santa,0
shortage,0.0,shortage,1,shortage,0,shortage,0,shortage,0,shortage,0,shortage,1,shortage,0,shortage,0,shortage,0,shortage,0,shortage,0,shortage,0,shortage,0,shortage,0,shortage,0,shortage,0,shortage,0,shortage,0,shortage,0,shortage,0,shortage,1,shortage,0,shortage,0,shortage,0,shortage,0
looms,1.0,looms,0,looms,1,looms,1,looms,0,looms,0,looms,1,looms,0,looms,0,looms,1,looms,1,looms,1,looms,0,looms,1,looms,1,looms,1,looms,0,looms,0,looms,0,looms,0,looms,1,looms,0,looms,0,looms,0,looms,1,looms,0
Over,1.0,Over,0,Over,0,Over,0,Over,0,Over,0,Over,0,Over,0,Over,0,Over,0,Over,0,Over,0,Over,0,Over,0,Over,0,Over,0,Over,0,Over,0,Over,0,Over,0,Over,0,Over,0,Over,0,Over,0,Over,0,Over,0
the,0.0,the,0,the,0,the,0,the,0,the,0,the,0,the,0,the,0,the,0,the,0,the,0,the,0,the,0,the,0,the,0,the,0,the,0,the,0,the,0,the,0,the,0,the,0,the,0,the,0,the,0
last,0.0,last,0,last,0,last,0,last,0,last,0,last,0,last,0,last,0,last,0,last,0,last,0,last,0,last,0,last,0,last,0,last,0,last,0,last,0,last,0,last,0,last,0,last,0,last,0,last,0,last,0
year,0.0,year,0,year,0,year,0,year,0,year,0,year,0,year,0,year,0,year,0,year,0,year,0,year,0,year,0,year,0,year,0,year,0,year,0,year,0,year,0,year,0,year,0,year,0,year,0,year,0,year,0
as,0.0,as,0,as,1,as,0,as,0,as,0,as,0,as,0,as,0,as,0,as,0,as,0,as,0,as,0,as,0,as,0,as,0,as,1,as,0,as,0,as,0,as,1,as,0,as,0,as,0,as,0
vaccines,0.0,vaccines,0,vaccines,0,vaccines,0,vaccines,0,vaccines,0,vaccines,0,vaccines,0,vaccines,0,vaccines,0,vaccines,0,vaccines,0,vaccines,0,vaccines,0,vaccines,0,vaccines,0,vaccines,0,vaccines,0,vaccines,0,vaccines,0,vaccines,0,vaccines,0,vaccines,0,vaccines,0,vaccines,0,vaccines,0
and,0.0,and,0,and,0,and,0,and,0,and,0,and,0,and,0,and,0,and,0,and,0,and,0,and,0,and,0,and,0,and,0,and,0,and,0,and,0,and,0,and,0,and,0,and,0,and,0,and,0,and,0
COVID,0.0,COVID,0,COVID,0,COVID,0,COVID,0,COVID,0,COVID,0,COVID,0,COVID,0,COVID,0,COVID,0,COVID,0,COVID,0,COVID,0,COVID,0,COVID,0,COVID,0,COVID,0,COVID,0,COVID,0,COVID,0,COVID,0,COVID,0,COVID,0,COVID,0,COVID,0
treatments,0.0,treatments,0,treatments,0,treatments,0,treatments,0,treatments,0,treatments,0,treatments,0,treatments,0,treatments,0,treatments,0,treatments,0,treatments,0,treatments,0,treatments,0,treatments,0,treatments,0,treatments,0,treatments,0,treatments,0,treatments,0,treatments,0,treatments,0,treatments,0,treatments,0,treatments,0
have,0.0,have,0,have,0,have,0,have,0,have,0,have,0,have,0,have,0,have,0,have,0,have,0,have,0,have,0,have,0,have,0,have,0,have,0,have,0,have,0,have,0,have,0,have,0,have,0,have,0,have,0
become,0.0,become,0,become,0,become,0,become,0,become,0,become,0,become,0,become,0,become,0,become,0,become,0,become,0,become,0,become,0,become,0,become,0,become,0,become,0,become,0,become,0,become,0,become,0,become,0,become,0,become,0
more,0.0,more,0,more,0,more,0,more,0,more,0,more,0,more,0,more,0,more,0,more,0,more,0,more,0,more,0,more,0,more,0,more,0,more,0,more,0,more,0,more,0,more,0,more,0,more,0,more,0,more,0
available,0.0,available,0,available,0,available,0,available,0,available,0,available,0,available,0,available,0,available,0,available,0,available,0,available,0,available,0,available,0,available,0,available,0,available,0,available,0,available,0,available,0,available,0,available,0,available,0,available,0,available,0
and,0.0,and,0,and,0,and,0,and,0,and,0,and,0,and,0,and,0,and,0,and,0,and,0,and,0,and,0,and,0,and,0,and,0,and,0,and,0,and,0,and,0,and,0,and,0,and,0,and,0,and,0
society,0.0,society,0,society,0,society,0,society,0,society,0,society,0,society,0,society,0,society,0,society,0,society,0,society,0,society,0,society,0,society,0,society,0,society,0,society,0,society,0,society,0,society,0,society,0,society,0,society,0,society,0
has,0.0,has,0,has,0,has,0,has,0,has,0,has,0,has,0,has,0,has,0,has,0,has,0,has,0,has,0,has,0,has,0,has,0,has,0,has,0,has,0,has,0,has,0,has,0,has,0,has,0,has,0
gotten,0.0,gotten,0,gotten,0,gotten,0,gotten,0,gotten,0,gotten,0,gotten,0,gotten,0,gotten,0,gotten,0,gotten,0,gotten,0,gotten,0,gotten,0,gotten,0,gotten,0,gotten,0,gotten,0,gotten,0,gotten,0,gotten,1,gotten,0,gotten,0,gotten,0,gotten,0
closer,1.0,closer,1,closer,0,closer,1,closer,0,closer,1,closer,1,closer,0,closer,1,closer,1,closer,1,closer,0,closer,1,closer,0,closer,1,closer,1,closer,0,closer,1,closer,1,closer,0,closer,0,closer,1,closer,1,closer,1,closer,1,closer,0
to,0.0,to,0,to,0,to,0,to,0,to,0,to,0,to,0,to,0,to,0,to,0,to,0,to,0,to,0,to,0,to,0,to,0,to,0,to,0,to,0,to,0,to,0,to,0,to,0,to,0,to,0
normal,0.0,normal,0,normal,1,normal,0,normal,0,normal,0,normal,0,normal,0,normal,0,normal,0,normal,0,normal,0,normal,0,normal,0,normal,0,normal,0,normal,0,normal,0,normal,0,normal,0,normal,0,normal,0,normal,0,normal,0,normal,0,normal,0
both,0.0,both,0,both,0,both,0,both,0,both,0,both,0,both,0,both,0,both,0,both,0,both,0,both,0,both,0,both,0,both,0,both,0,both,0,both,0,both,0,both,0,both,0,both,0,both,0,both,0,both,0
Hire,0.0,Hire,0,Hire,0,Hire,0,Hire,0,Hire,0,Hire,0,Hire,0,Hire,0,Hire,0,Hire,0,Hire,0,Hire,0,Hire,0,Hire,0,Hire,0,Hire,0,Hire,0,Hire,0,Hire,0,Hire,0,Hire,0,Hire,0,Hire,0,Hire,0,Hire,0
Santa,0.0,Santa,0,Santa,0,Santa,0,Santa,0,Santa,0,Santa,0,Santa,0,Santa,0,Santa,0,Santa,0,Santa,0,Santa,0,Santa,0,Santa,0,Santa,0,Santa,0,Santa,0,Santa,0,Santa,0,Santa,0,Santa,0,Santa,0,Santa,0,Santa,0,Santa,0
and,0.0,and,0,and,0,and,0,and,0,and,0,and,0,and,0,and,0,and,0,and,0,and,0,and,0,and,0,and,0,and,0,and,0,and,0,and,0,and,0,and,0,and,0,and,0,and,0,and,0,and,0
the,0.0,the,0,the,0,the,0,the,0,the,0,the,0,the,0,the,0,the,0,the,0,the,0,the,0,the,0,the,0,the,0,the,0,the,0,the,0,the,0,the,0,the,0,the,0,the,0,the,0,the,0
International,0.0,International,0,International,0,International,0,International,0,International,0,International,0,International,0,International,0,International,0,International,0,International,0,International,0,International,0,International,0,International,0,International,0,International,0,International,0,International,0,International,0,International,0,International,0,International,0,International,0,International,0
Brotherhood,0.0,Brotherhood,0,Brotherhood,0,Brotherhood,0,Brotherhood,0,Brotherhood,0,Brotherhood,0,Brotherhood,0,Brotherhood,0,Brotherhood,0,Brotherhood,0,Brotherhood,0,Brotherhood,0,Brotherhood,0,Brotherhood,0,Brotherhood,0,Brotherhood,0,Brotherhood,0,Brotherhood,0,Brotherhood,0,Brotherhood,0,Brotherhood,0,Brotherhood,0,Brotherhood,0,Brotherhood,0,Brotherhood,0
of,0.0,of,0,of,0,of,0,of,0,of,0,of,0,of,0,of,0,of,0,of,0,of,0,of,0,of,0,of,0,of,0,of,0,of,0,of,0,of,0,of,0,of,0,of,0,of,0,of,0,of,0
Real-Bearded,0.0,Real-Bearded,0,Real-Bearded,0,Real-Bearded,0,Real-Bearded,0,Real-Bearded,0,Real-Bearded,0,Real-Bearded,0,Real-Bearded,0,Real-Bearded,0,Real-Bearded,0,Real-Bearded,0,Real-Bearded,0,Real-Bearded,0,Real-Bearded,0,Real-Bearded,0,Real-Bearded,0,Real-Bearded,0,Real-Bearded,0,Real-Bearded,0,Real-Bearded,0,Real-Bearded,0,Real-Bearded,0,Real-Bearded,0,Real-Bearded,0,Real-Bearded,0
Santas,0.0,Santas,0,Santas,0,Santas,0,Santas,0,Santas,0,Santas,0,Santas,0,Santas,0,Santas,0,Santas,0,Santas,0,Santas,0,Santas,0,Santas,0,Santas,0,Santas,0,Santas,0,Santas,0,Santas,0,Santas,0,Santas,0,Santas,0,Santas,0,Santas,0,Santas,0
have,0.0,have,0,have,0,have,0,have,0,have,0,have,0,have,0,have,0,have,0,have,0,have,0,have,0,have,0,have,0,have,0,have,0,have,0,have,0,have,0,have,0,have,0,have,0,have,0,have,0,have,0
worked,0.0,worked,0,worked,0,worked,0,worked,0,worked,0,worked,0,worked,0,worked,1,worked,0,worked,0,worked,0,worked,0,worked,0,worked,0,worked,0,worked,0,worked,0,worked,0,worked,0,worked,0,worked,0,worked,0,worked,0,worked,0,worked,0
to,0.0,to,0,to,0,to,0,to,0,to,0,to,0,to,0,to,0,to,0,to,0,to,0,to,0,to,0,to,0,to,0,to,0,to,0,to,0,to,0,to,0,to,0,to,0,to,0,to,0,to,0
rebuild,1.0,rebuild,1,rebuild,1,rebuild,1,rebuild,1,rebuild,1,rebuild,1,rebuild,0,rebuild,1,rebuild,1,rebuild,1,rebuild,1,rebuild,1,rebuild,1,rebuild,1,rebuild,1,rebuild,1,rebuild,1,rebuild,1,rebuild,1,rebuild,1,rebuild,1,rebuild,1,rebuild,1,rebuild,1,rebuild,1
the,0.0,the,0,the,0,the,0,the,0,the,0,the,0,the,0,the,0,the,0,the,0,the,0,the,0,the,0,the,0,the,0,the,0,the,0,the,0,the,0,the,0,the,0,the,0,the,0,the,0,the,0
