word,DELMET,word_1,label_1,word_2,label_2,word_3,label_3,word_4,label_4,word_5,label_5,word_6,label_6,word_7,label_7,word_8,label_8,word_9,label_9,word_10,label_10,word_11,label_11,word_12,label_12,word_13,label_13,word_14,label_14,word_15,label_15,word_16,label_16,word_17,label_17,word_18,label_18,word_19,label_19,word_20,label_20,word_21,label_21,word_22,label_22,word_23,label_23,word_24,label_24,word_25,label_25
And,0,And,0,And,0,,0,And,0,And,0,And,0,And,0,And,0,And,0,And,0,And,0,And,0,And,0,And,0,And,0,And,0,And,0,And,0,And,0,,0,And,0,And,0,And,0,And,1,And,0
there,0,there,0,there,0,,0,there,0,there,0,there,0,there,0,there,0,there,0,there,0,there,0,there,0,there,0,there,0,there,0,there,0,there,0,there,0,there,0,,0,there,0,there,0,there,0,there,0,there,0
is,0,is,0,is,0,,0,is,0,is,0,is,0,is,0,is,0,is,0,is,0,is,0,is,0,is,0,is,0,is,0,is,0,is,0,is,0,is,0,,0,is,0,is,0,is,0,is,0,is,0
always,0,always,0,always,0,,0,always,0,always,0,always,0,always,0,always,0,always,0,always,0,always,0,always,0,always,0,always,0,always,0,always,0,always,0,always,0,always,0,always,0,always,0,always,0,always,0,always,0,always,1
the,0,the,0,the,0,,0,the,0,the,0,the,0,the,0,the,0,the,0,the,0,the,0,the,0,the,0,the,0,the,0,the,0,the,0,the,0,the,0,,0,the,0,the,0,the,0,the,0,the,0
ultimate,0,ultimate,0,ultimate,0,ultimate,1,ultimate,0,ultimate,0,ultimate,0,ultimate,1,ultimate,0,ultimate,0,ultimate,0,ultimate,0,ultimate,0,ultimate,0,ultimate,0,ultimate,0,ultimate,0,ultimate,1,ultimate,0,ultimate,1,ultimate,1,ultimate,0,ultimate,0,ultimate,0,ultimate,1,ultimate,1
unbundler,0,unbundler,0,unbundler,0,unbundler,0,unbundler,0,unbundler,0,unbundler,0,unbundler,1,unbundler,0,unbundler,0,unbundler,0,unbundler,0,unbundler,0,unbundler,0,unbundler,0,unbundler,0,unbundler,0,unbundler,0,unbundler,0,unbundler,0,unbundler,1,unbundler,0,unbundler,0,unbundler,0,unbundler,0,unbundler,0
defence,1,defence,0,defence,1,defence,1,defence,0,defence,1,defence,1,defence,0,defence,1,defence,1,defence,1,defence,0,defence,0,defence,1,defence,0,defence,1,defence,1,defence,1,defence,0,defence,1,defence,0,defence,1,defence,1,defence,1,defence,0,defence,1
that,0,that,0,that,0,,0,that,0,that,0,that,0,that,0,that,0,that,0,that,0,that,0,that,0,that,0,that,0,that,0,that,0,that,0,that,0,that,0,,0,that,0,that,0,that,0,that,0,that,0
he,0,he,0,he,0,he,0,he,0,he,0,he,0,he,0,he,0,he,0,he,0,he,0,he,0,he,0,he,0,he,0,he,0,he,0,he,0,he,0,,0,he,0,he,0,he,0,he,0,he,0
