Features,0 shot - conventional metaphor ,0 shot - lexicalized metaphor ,0 shot - metaphor ,0 shot - conventional metaphor + only NVAJ,0 shot - lexicalized metaphor + only NVAJ,0 shot - metaphor + only NVAJ 
Basic Task Description,"You will perform a conventional metaphor detection task.  List every word from every sentence from a set of unrelated sentences, one word per row. Mark conventional metaphors with ':1'. Use an empty row to separate word lists from different sentences. 
Sentences:{text}","You will perform a lexicalized metaphor detection task. List every word from every sentence from a set of unrelated sentences, one word per row. Mark lexicalized metaphors with ':1'. Use an empty row to separate word lists from different sentences. 
Sentences:{text}","You will perform a metaphor detection task. List every word from every sentence from a set of unrelated sentences, one word per row. Mark metaphors with ':1'. Use an empty row to separate word lists from different sentences.  
Sentences:{text}","You will perform a conventional metaphor detection task. List every word from every sentence from a set of unrelated sentences, one word per row. Mark conventional metaphors with ':1'. Only mark nouns, verbs and adjectives. Use an empty row to separate word lists from different sentences. 
Sentences:{text}","You will perform a lexicalized metaphor detection task. List every word from every sentence from a set of unrelated sentences, one word per row. Mark lexicalized metaphors with ':1'. Only mark nouns, verbs and adjectives. Use an empty row to separate word lists from different sentences. 
Sentences:{text}","You will perform a metaphor detection task. List every word from every sentence from a set of unrelated sentences, one word per row. Mark metaphors with ':1'. Only mark nouns, verbs and adjectives. Use an empty row to separate word lists from different sentences. 
Sentences:{text}"
Basic Task Description,"We are focusing on detecting conventional metaphors within sentences. Take each sentence I provide, and split it into separate words, each on a new row. If a word forms part of a conventional metaphor, mark it with ':1'. Use an empty row to separate word lists from different sentences. 

Now examine the following sentences:{text}","We are focusing on detecting lexicalized metaphors within sentences. Take each sentence I provide, and split it into separate words, each on a new line. If a word is a lexicalized metaphor, mark it with ':1'. Use an empty row to separate word lists from different sentences. 

Now examine the following sentence:{text}","We are focusing on detecting metaphors within sentences. Take each sentence I provide, and split it into separate words, each on a new line. If a word is a metaphor, mark it with ':1'. 

Now examine the following sentence:{text}","We are focusing on detecting conventional metaphors within sentences. Take each sentence I provide, and split it into separate words, each on a new line. If a word is a conventional metaphor, mark it with ':1'. Only mark nouns, verbs and adjectives. 

Now examine the following sentence:{text}","We are focusing on detecting lexicalized metaphors within sentences. Take each sentence I provide, and split it into separate words, each on a new line. If a word is a lexicalized metaphor, mark it with ':1'. Only mark nouns, verbs and adjectives. 

Now examine the following sentence:{text}","We are focusing on detecting metaphors within sentences. Take each sentence I provide, and split it into separate words, each on a new line. If a word is a metaphor, mark it with ':1'. Only mark nouns, verbs and adjectives. 

Now examine the following sentence:{text}"
Basic Task Description,"Process the following text to detect conventional metaphors.in each input sentence, list it on a new row. If the word is part of a conventional metaphor, mark it with ':1'. Otherwise, do not mark it. Use an empty row to separate word lists from different sentences. 

Sentences: {text}","Process the following text to detect lexicalized metaphors. For each word in the text, list it on a new line. If the word is part of a lexicalized metaphor, mark it with ':1'. Otherwise, do not mark it.

Sentences: {text}","Process the following text to detect metaphors. For each word in the text, list it on a new line. If the word is part of a metaphor, mark it with ':1'. Otherwise, do not mark it.

Text: {text}","Process the following text to detect conventional metaphors. For each word in the text, list it on a new line. If the word is part of a conventional metaphor, mark it with ':1'. Otherwise, do not mark it. Only mark nouns, verbs and adjectives. 

Text: {text}","Process the following text to detect lexicalized metaphors. For each word in the text, list it on a new line. If the word is part of a lexicalized metaphor, mark it with ':1'. Otherwise, do not mark it.Only mark nouns, verbs and adjectives. 

Text: {text}","Process the following text to detect metaphors. For each word in the text, list it on a new line. If the word is part of a metaphor, mark it with ':1'. Otherwise, do not mark it.Only mark nouns, verbs and adjectives. 

Text: {text}"
Basic Task Description,"Your task is to detect conventional metaphors. Proceed as follows:

Analyze each sentence provided and write down each word separately, one word per row. Mark any conventional metaphorical word with "":1"". Use an empty row to separate word lists from different sentences.

Sentences: {text}","Your task is to detect lexicalized metaphors. Proceed as follows:

Analyze the text provided and write down each word separately, one word per row. Mark any lexicalized metaphorical word with "":1"".
Sentences: {text}","Your task is to detect metaphors. Proceed as follows:

Analyze the text provided and write down each word separately, one word per row. Mark any metaphorical word with "":1"".
Text: {text}","Your task is to detect conventional metaphors. Proceed as follows:

Analyze the text provided and write down each word separately, one word per row. Mark any conventional metaphorical word with "":1"".Only mark nouns, verbs and adjectives. 
Text: {text}","Your task is to detect lexicalized metaphors. Proceed as follows:

Analyze the text provided and write down each word separately, one word per row. Mark any lexicalized metaphorical word with "":1"".Only mark nouns, verbs and adjectives. 
Text: {text}","Your task is to detect metaphors. Proceed as follows:

Analyze the text provided and write down each word separately, one word per row. Mark any metaphorical word with "":1"".Only mark nouns, verbs and adjectives. 
Text: {text}"
Bare task description,"Analyze the given sentences. For each sentence, only output each word, one word per row. If a word is a conventional metaphor, append ':1' to it. Use an empty row to separate word lists from different sentences.

Sentences:{text}","Analyze the given sentences. For each sentence, only output each word, one word per row. If a word is a lexicalized metaphor, append ':1' to it. Use an empty row to separate word lists from different sentences.

Sentences:{text}","Analyze the given sentences. For each sentence, only output each word, one word per row. If a word is a metaphor, append ':1' to it. Use an empty row to separate word lists from different sentences.

Sentences:{text}","Analyze the given sentences. For each sentence, only output each word, one word per row. If a word is a conventional metaphor, append ':1' to it. Only mark nouns, verbs and adjectives. Use an empty row to separate word lists from different sentences.

Sentences:{text}","Analyze the given sentences. For each sentence, only output each word, one word per row. If a word is a lexicalized metaphor, append ':1' to it.Only mark nouns, verbs and adjectives.  Use an empty row to separate word lists from different sentences.

Sentences:{text}","Analyze the given sentences. For each sentence, only output each word, one word per row. If a word is a metaphor, append ':1' to it. Only mark nouns, verbs and adjectives. 

Sentences:{text}"
Basic Task Description,"For the purpose of conventional metaphor detection,you will receive a set of sentences. Decompose each sentence into its constituent words, placing each word on a separate row. Append ':1' to any word that constitutes a conventional metaphor. Use an empty row to separate word lists from different sentences.

Sentences:{text}","For the purpose of lexicalized metaphor detection,you will receive a text. Decompose this text into its constituent words, placing each word on a separate line. Append ':1' to any word that constitutes a lexicalized metaphor. Use an empty row to separate word lists from different sentences.

Sentences:{text}","For the purpose of metaphor detection,you will receive a text. Decompose this text into its constituent words, placing each word on a separate line. Append ':1' to any word that constitutes a metaphor.

Text:{text}","For the purpose of conventional metaphor detection,you will receive a text. Decompose this text into its constituent words, placing each word on a separate line. Append ':1' to any word that constitutes a conventional metaphor.Only mark nouns, verbs and adjectives. 

Text:{text}","For the purpose of lexicalized metaphor detection,you will receive a text. Decompose this text into its constituent words, placing each word on a separate line. Append ':1' to any word that constitutes a lexicalized metaphor.Only mark nouns, verbs and adjectives. 

Text:{text}","For the purpose of metaphor detection,you will receive a text. Decompose this text into its constituent words, placing each word on a separate line. Append ':1' to any word that constitutes a metaphor.Only mark nouns, verbs and adjectives. 

Text:{text}"
Task Description with Instruction,"Note: Don’t output step 1 but only output results from step 2.
Step 1: Analyze every word in each given sentence to identify conventional metaphors.

Sentences:{text}

Step 2: List every word in the given sentence sequentially, placing one word per row. Use an empty row to separate word lists from different sentences. Then, review the words to confirm which are conventional metaphors. After confirmation, mark the words that are conventional metaphors with ':1' in the word lists. ","Note: Don’t output step 1 but only output results from step 2.
Step 1: Go through every word in a given text. Find out which words are lexicalized metaphors

Sentences: {text}

Step2: Review the words detected as lexicalized metaphors. After confirmation, list each word from the provided text, one word per row. Mark lexicalized metaphors with ':1'.","Note: Don’t output step 1 but only output results from step 2.
Step 1: Go through every word in a given text. Find out which words are metaphors

Text: {text}

Step2: Review the words detected as metaphors. After confirmation, list each word from the provided text, one word per row. Mark metaphors with ':1'.","Note: Don’t output step 1 but only output results from step 2.
Step 1: Go through every word in a given text. Find out which words are conventional metaphors

Text: {text}

Step2: Review the words detected as conventional metaphors. After confirmation, list each word from the provided text, one word per row. Mark conventional metaphors with ':1'.Only mark nouns, verbs and adjectives. ","Note: Don’t output step 1 but only output results from step 2.
Step 1: Go through every word in a given text. Find out which words are lexicalized metaphors

Text: {text}

Step2: Review the words detected as lexicalized metaphors. After confirmation, list each word from the provided text, one word per row. Mark lexicalized metaphors with ':1'.Only mark nouns, verbs and adjectives. ","Note: Don’t output step 1 but only output results from step 2.
Step 1: Go through every word in a given text. Find out which words are metaphors

Text: {text}

Step2: Review the words detected as metaphors. After confirmation, list each word from the provided text, one word per row. Mark metaphors with ':1'.Only mark nouns, verbs and adjectives. "
Background Information,"Your mission is to detect conventional metaphors. Remember, not every word with a non-literal meaning is a metaphor, but only those that have been conventionalized in the language system.

You will be given a set of sentences. List every word from each provided sentence. Words detected as conventional metaphors should be followed by "":1"", and each word or word:1 should be presented on a separate row. Use an empty row to separate word lists from different sentences.

Sentences: {text}","Your mission is to detect lexicalized metaphors. Remember, not every word with a non-literal meaning is a metaphor, but only those that have been lexicalized in the language system.

You will be given a new text. List every word from the provided text. Words identified as lexicalized metaphors should be followed by "":1"", and each word or word:1 should be presented on a separate line.

Sentences: {text}","Your mission is to detect metaphors. Remember, not every word with a non-literal meaning is a metaphor, but only those that have been ized in the language system.

You will be given a new text. List every word from the provided text. Words identified as metaphors should be followed by "":1"", and each word or word:1 should be presented on a separate line.

Text: {text}","Your mission is to detect conventional metaphors. Remember, not every word with a non-literal meaning is a metaphor, but only those that have been conventionalized in the language system.

You will be given a new text. List every word from the provided text. Words identified as conventional metaphors should be followed by "":1"", and each word or word:1 should be presented on a separate line.Only mark nouns, verbs and adjectives. 

Text: {text}","Your mission is to detect lexicalized metaphors. Remember, not every word with a non-literal meaning is a metaphor, but only those that have been lexicalized in the language system.

You will be given a new text. List every word from the provided text. Words identified as lexicalized metaphors should be followed by "":1"", and each word or word:1 should be presented on a separate line.Only mark nouns, verbs and adjectives. 

Text: {text}","Your mission is to detect metaphors. Remember, not every word with a non-literal meaning is a metaphor, but only those that have been ized in the language system.

You will be given a new text. List every word from the provided text. Words identified as metaphors should be followed by "":1"", and each word or word:1 should be presented on a separate line.Only mark nouns, verbs and adjectives. 

Text: {text}"
Word Classification with Task Description,"Your task is to detect conventional metaphors in a set of sentences and list each word per row for each sentence, labeling those that are part of a conventional metaphor with a "":1"".  Other words (non metaphors or novel metaphors) should be listed without any label. Use an empty row to separate word lists from different sentences.

Now, analyze the following sentences and produce the output in the specified format:

{text}","Your task is to identify lexicalized metaphors in a set of sentences and list each word per row, labeling those that are part of a lexicalized metaphor with a "":1"".  Other words (non metaphors or novel metaphors) should be listed without any label.Use an empty row to separate word lists from different sentences.

Now, analyze the following text and produce the output in the specified format:

{text}","Your task is to identify metaphors in a set of sentences and list each word per row, labeling those that are part of a metaphor with a "":1"". Other words (non metaphors) should be listed without any label. Use an empty row to separate word lists from different sentences.

Now, analyze the following text and produce the output in the specified format:

{text}","Your task is to identify conventional metaphors in a given sentence and list each word per row, labeling those that are part of a conventional metaphor with a "":1"".  Other words (non metaphors or novel metaphors) should be listed without any label.Only mark nouns, verbs and adjectives. 

Now, analyze the following text and produce the output in the specified format:

{text}","Your task is to identify lexicalized metaphors in a given sentence and list each word per row, labeling those that are part of a lexicalized metaphor with a "":1"".  Other words (non metaphors or novel metaphors) should be listed without any label.Only mark nouns, verbs and adjectives. 

Now, analyze the following text and produce the output in the specified format:

{text}","Your task is to identify metaphors in a given sentence and list each word per row, labeling those that are part of a metaphor with a "":1"". Other words (non metaphors or novel metaphors) should be listed without any label.Only mark nouns, verbs and adjectives. 

Now, analyze the following text and produce the output in the specified format:

{text}"
Word Classification with Task Description,"Review a set of sentences provided and list all the words of each sentence, one word per row. For any word that is a part of a conventionalized or commonly used metaphor, append "":1""  after the word. Leave non-metaphorical and novel metaphorical words unchanged. Ensure you preserve the original sequence of words from the sentence.Use an empty row to separate word lists from different sentences.


Now, please process the following sentences:

{text}
","Review a set of sentences provided and list all the words of each sentence, one word per row. For any word that is a part of a lexicalized or commonly used metaphor, append "":1"" after the word. Leave non-metaphorical and novel metaphorical words unchanged. Ensure you preserve the original sequence of words from the sentence. Use an empty row to separate word lists from different sentences.


Now, please process the following Sentences:

{text}
","Review a set of sentences provided and list all the words of each sentence, one word per row. For any word that is a part of a ized or commonly used metaphor, append "":1"" after the word. Leave non-metaphorical words unchanged. Ensure you preserve the original sequence of words from the sentence.Use an empty row to separate word lists from different sentences.


Now, please process the following Sentences:

{text}
","Review a set of sentences provided and list all the words of each sentence, one word per row. For any word that is a part of a conventionalized or commonly used metaphor, and is noun, verb or adjective, append "":1"" after the word. Leave non-metaphorical and novel metaphorical words unchanged. Ensure you preserve the original sequence of words from the sentence. Use an empty row to separate word lists from different sentences.


Now, please process the following Sentences:

{text}","Review a set of sentences provided and list all the words of each sentence, one word per row. For any word that is a part of a lexicalized or commonly used metaphor, and is noun, verb or adjective, append "":1"" after the word. Leave non-metaphorical and novel metaphorical words unchanged. Ensure you preserve the original sequence of words from the sentence.Only mark nouns, verbs and adjectives. Use an empty row to separate word lists from different sentences.


Now, please process the following sentences:

{text}
","Review a set of sentences provided and list all the words of each sentence, one word per row. For any word that is a part of a metaphor, and is noun, verb or adjective, append "":1"" after the word. Leave non-metaphorical words unchanged. Ensure you preserve the original sequence of words from the sentence. Only mark nouns, verbs and adjectives. Use an empty row to separate word lists from different sentences.


Now, please process the following sentences:

{text}
"
