word,DELMET,wordcat,word_10,label_10,word_22,label_22,word_21,label_21,word_5,label_5,word_1,label_1
And,0,CJ,And,0,And,0,And,0,And,0,ultimate,1
there,0,EX,there,0,there,0,there,0,there,0,unbundler,1
is,0,V,is,0,is,0,is,0,is,0,defence,0
always,0,AV,always,1,always,0,always,0,always,1,money,0
the,0,AT,the,0,the,0,the,0,the,0,backers,0
ultimate,0,AJ,ultimate,1,ultimate,0,ultimate,0,ultimate,1,procession,0
unbundler,0,N,unbundler,0,unbundler,0,unbundler,0,unbundler,0,coffin,0
defence,1,N,defence,1,defence,1,defence,1,defence,0,mountains,0
that,0,CJ,that,0,that,0,that,0,that,0,capital,0
he,0,PN,he,0,he,0,he,0,he,0,reburial,0
will,0,V,will,0,will,0,will,0,will,0,monastery,0
make,1,V,make,1,make,0,make,0,make,0,Thomson,0
money,0,N,money,0,money,0,money,0,money,0,transferred,0
for,0,PR,for,0,for,0,for,0,for,0,abstraction,1
his,0,DP,his,0,his,0,his,0,his,0,music,0
backers,0,N,backers,0,backers,0,backers,0,backers,0,life,0
Then,0,AV,Then,0,Then,0,Then,0,Then,0,sitter,0
they,0,PN,they,0,they,0,they,0,they,0,drawing,0
formed,0,V,formed,0,formed,0,formed,0,formed,0,technique,0
a,0,AT,a,0,a,0,a,0,a,0,painter,0
slow,0,AJ,slow,0,slow,0,slow,0,slow,1,employ,0
procession,0,N,procession,0,procession,0,procession,0,procession,0,portraits,0
behind,0,PR,behind,0,behind,0,behind,0,behind,0,combination,0
the,0,AT,the,0,the,0,the,0,the,0,habit,0
coffin,0,N,coffin,0,coffin,0,coffin,0,coffin,0,response,0
into,0,PR,into,0,into,0,into,0,into,0,subject,0
the,0,AT,the,0,the,0,the,0,the,0,cases,0
mountains,0,N,mountains,0,mountains,0,mountains,0,mountains,0,Labour,0
to,0,PR,to,0,to,0,to,0,to,0,quangos,0
the,0,AT,the,0,the,0,the,0,the,0,merge,0
old,0,AJ,old,0,old,0,old,0,old,1,ones,0
royal,0,AJ,royal,0,royal,0,royal,0,royal,0,bodies,0
capital,0,N,capital,0,capital,0,capital,0,capital,0,success,0
of,0,PR,of,0,of,0,of,0,of,0,Ahlbergs,0
Cetinje,0,N,Cetinje,0,Cetinje,0,Cetinje,0,Cetinje,0,relationship,0
for,0,PR,for,0,for,0,for,0,for,0,lot,0
his,0,DP,his,0,his,0,his,0,his,0,marriage,0
reburial,0,N,reburial,0,reburial,0,reburial,0,reburial,0,author,0
in,0,PR,in,0,in,0,in,0,in,0,illustrator,0
the,0,AT,the,0,the,0,the,0,the,0,roles,0
monastery,0,N,monastery,0,monastery,0,monastery,0,monastery,0,partnership,0
there,0,AV,there,0,there,0,there,0,there,0,book-makers,0
Just+as+so,0,AV + CJ + AV,Just+as+so,0,Just+as+so,0,Thomson,0,Just+as+so,0,contributing,0
Thomson,0,N,Thomson,0,Thomson,0,transferred,0,Thomson,0,process,0
transferred,1,V,transferred,0,transferred,0,Stein,0,transferred,0,holding,0
Stein,0,N,Stein,0,Stein,0,literary,0,Stein,0,meetings,0
literary,0,AJ,literary,0,literary,0,abstraction,1,literary,0,children,0
abstraction,0,N,abstraction,0,abstraction,1,to,0,abstraction,0,telecottage,0
to,1,PR,to,0,to,0,music,0,to,0,store,0
music,0,N,music,0,music,0,life,0,music,0,people,0
life,2,N,life,0,life,0,from,0,life,0,walks,1
from,2,PR,from,0,from,0,sitter,0,from,0,life,0
sitter,2,N,sitter,0,sitter,0,drawing,0,sitter,0,entrepreneurs,0
drawing,2,V,drawing,0,drawing,1,technique,0,drawing,0,spouses,0
technique,2,N,technique,0,technique,1,painter,0,technique,0,shop+assistants,0
painter,2,N,painter,0,painter,1,employ,0,painter,0,craftspeople,0
employ,2,V,employ,0,employ,0,portraits,0,employ,0,children,0
portraits,2,N,portraits,0,portraits,0,these,0,portraits,0,chants,0
these,2,DT,these,0,these,0,unusually,0,these,0,humiliation,0
unusually,0,AV,unusually,0,unusually,0,the,0,unusually,0,side,0
the,0,AT,the,0,the,0,of,0,the,0,start,0
of,0,PR,of,0,of,0,the,0,of,0,season,0
the,0,AT,the,0,the,0,an,0,the,0,week,0
an,0,AT,an,0,an,0,ideal,0,an,0,going-over,0
ideal,0,AJ,ideal,0,ideal,0,combination,0,ideal,1,players,0
combination,0,N,combination,0,combination,0,of,0,combination,0,Ron,0
of,0,PR,of,0,of,0,Thomson,0,of,0,Todd,0
Thomson,0,N,Thomson,0,Thomson,0,habit,0,Thomson,0,secretary,0
habit,1,N,habit,0,habit,0,of,0,habit,0,workers,0
of,0,PR,of,0,of,0,immediate,0,of,0,union,0
immediate,1,AJ,immediate,1,immediate,0,response,0,immediate,1,vote,0
response,1,N,response,0,response,0,with,0,response,0,defence,0
with,1,PR,with,0,with,0,an,0,with,0,policy,0
an,0,AT,an,0,an,0,actual,0,an,0,majority,0
actual,0,AJ,actual,0,actual,0,subject,0,actual,0,right-wingers,0
subject,1,N,subject,0,subject,0,In,0,subject,0,leaders,0
In,1,PR,In,0,In,0,some,0,In,0,goose-step,1
some,0,DT,some,0,some,0,cases,0,some,0,direction,0
cases,0,N,cases,0,cases,0,Labour,0,cases,0,policy,0
Labour,0,N,Labour,0,Labour,0,quangos,0,Labour,0,Glasgow,0
quangos,0,N,quangos,0,quangos,0,merge,0,quangos,0,Clocks,0
merge,1,V,merge,0,merge,0,existing,0,merge,0,instruments,0
existing,0,AJ,existing,0,existing,0,ones,0,existing,0,Wednesday,0
ones,0,N,ones,0,ones,0,or,0,ones,0,sell,0
or,0,CJ,or,0,or,0,replace,0,or,0,house,0
replace,1,V,replace,0,replace,0,well-established,0,replace,0,cottage,0
well-established,0,AJ,well-established,0,well-established,0,bodies,0,well-established,0,centre,0
bodies,1,N,bodies,0,bodies,0,The,0,bodies,0,town,0
The,0,AT,The,0,The,0,success,0,The,0,South,0
success,0,N,success,1,success,0,of,0,success,0,Molton,0
of,0,PR,of,0,of,0,the,0,of,0,cottage,0
the,0,AT,the,0,the,0,Ahlbergs,0,the,0,guide,0
Ahlbergs,0,N,Ahlbergs,0,Ahlbergs,0,working,0,Ahlbergs,0,price,0
working,0,N,working,0,working,0,relationship,0,working,0,lots,0
relationship,0,N,relationship,0,relationship,0,must,0,relationship,0,sale,0
must,0,V,must,0,must,0,have,0,must,0,auction,0
have,0,V,have,0,have,0,a,0,have,0,Bristol,0
a,0,AT,a,0,a,0,lot,0,a,0,West,0
lot,0,N,lot,0,lot,0,to,0,lot,0,Property,0
to,0,TO,to,0,to,0,do,0,to,0,Services,0
