word,DELMET,word_19,label_19,word_12,label_12,word_18,label_18,word_24,label_24,word_3,label_3,word_14,label_14,word_10,label_10,word_11,label_11,word_15,label_15,word_8,label_8,word_1,label_1,word_7,label_7,word_5,label_5,word_21,label_21,word_9,label_9,word_6,label_6,word_13,label_13,word_25,label_25,word_17,label_17,word_16,label_16,word_23,label_23,word_4,label_4,word_22,label_22,word_20,label_20,word_2,label_2
Inflation,1,Inflation,1,Inflation,0,Inflation,0,Inflation,0,Inflation,0,Inflation,0,Inflation,0,Inflation,0,Inflation,1,Inflation,0,Inflation,0,Inflation,0,Inflation,0,Inflation,1,Inflation,0,Inflation,0,Inflation,0,Inflation,0,Inflation,0,Inflation,0,Inflation,0,Inflation,0,Inflation,1,Inflation,0,Inflation,0
has,0,has,0,has,0,has,0,has,0,has,0,has,0,has,0,has,0,has,0,has,0,has,0,has,0,has,0,has,0,has,0,has,0,has,0,has,0,has,0,has,0,has,0,has,0,has,0,has,0,has,0
reached,1,reached,1,reached,1,reached,1,reached,1,reached,1,reached,1,reached,1,reached,1,reached,1,reached,1,reached,1,reached,1,reached,1,reached,1,reached,1,reached,1,reached,1,reached,1,reached,1,reached,1,reached,1,reached,1,reached,1,reached,1,reached,1
the,0,the,0,the,0,the,0,the,0,the,0,the,0,the,0,the,0,the,0,the,0,the,0,the,0,the,0,the,0,the,0,the,0,the,0,the,0,the,0,the,0,the,0,the,0,the,0,the,0,the,0
North,0,North,0,North,0,North,0,North,0,North,0,North,0,North,0,North,0,North,0,North,0,North,0,North,0,North,0,North,0,North,0,North,0,North,0,North,0,North,0,North,0,North,0,North,0,North,0,North,0,North,0
Pole,0,Pole,1,Pole,1,Pole,0,Pole,1,Pole,0,Pole,0,Pole,0,Pole,0,Pole,0,Pole,0,Pole,0,Pole,1,Pole,0,Pole,0,Pole,0,Pole,1,Pole,0,Pole,1,Pole,0,Pole,1,Pole,0,Pole,0,Pole,0,Pole,0,Pole,1
as,0,as,0,as,0,as,1,as,0,as,0,as,0,as,0,as,1,as,1,as,1,as,0,as,0,as,1,as,0,as,1,as,0,as,1,as,0,as,0,as,1,as,0,as,0,as,0,as,0,as,1
a,0,a,0,a,0,a,0,a,0,a,0,a,0,a,0,a,0,a,0,a,0,a,0,a,0,a,0,a,0,a,0,a,0,a,0,a,0,a,0,a,0,a,0,a,0,a,0,a,0,a,0
Santa,0,Santa,0,Santa,0,Santa,0,Santa,0,Santa,0,Santa,0,Santa,0,Santa,0,Santa,0,Santa,0,Santa,0,Santa,0,Santa,0,Santa,0,Santa,0,Santa,0,Santa,0,Santa,0,Santa,0,Santa,0,Santa,0,Santa,0,Santa,0,Santa,0,Santa,0
shortage,0,shortage,1,shortage,0,shortage,0,shortage,0,shortage,0,shortage,0,shortage,0,shortage,0,shortage,0,shortage,1,shortage,0,shortage,0,shortage,0,shortage,0,shortage,0,shortage,0,shortage,0,shortage,0,shortage,0,shortage,0,shortage,0,shortage,0,shortage,0,shortage,0,shortage,0
