word,DELMET,wordcat,word_10,label_10,word_22,label_22,word_21,label_21,word_5,label_5,word_1,label_1
And,0,CJ,And,0,And,0,ultimate,1,And,0,ultimate,1
there,0,EX,there,0,there,0,unbundler,0,there,0,defence,0
is,0,V,is,0,is,0,defence,1,is,0,money,0
always,0,AV,always,1,always,0,he,0,always,1,backers,0
the,0,AT,the,0,the,0,will,0,the,0,formed,0
ultimate,0,AJ,ultimate,1,ultimate,0,make,0,ultimate,1,procession,0
unbundler,0,N,unbundler,0,unbundler,1,money,0,unbundler,0,coffin,0
defence,1,N,defence,1,defence,1,for,0,defence,1,mountains,0
that,0,CJ,that,0,that,0,his,0,that,0,capital,0
he,0,PN,he,0,he,0,backers,0,he,0,reburial,0
will,0,V,will,0,will,0,then,0,will,0,monastery,0
make,1,V,make,1,make,0,they,0,make,0,Thomson,0
money,0,N,money,0,money,0,formed,0,money,0,transferred,0
for,0,PR,for,0,for,0,a,0,for,0,abstraction,0
his,0,DP,his,0,his,0,slow,0,his,0,music,0
backers,0,N,backers,0,backers,0,procession,0,backers,0,life,0
Then,0,AV,Then,0,Then,0,behind,0,Then,0,sitter,0
they,0,PN,they,0,they,0,the,0,they,0,drawing,0
formed,0,V,formed,0,formed,0,coffin,0,formed,0,technique,0
a,0,AT,a,0,a,0,into,0,a,0,painter,0
slow,0,AJ,slow,0,slow,0,the,0,slow,0,employ,0
procession,0,N,procession,0,procession,0,mountains,0,procession,0,portraits,0
behind,0,PR,behind,0,behind,0,to,0,behind,0,combination,0
the,0,AT,the,0,the,0,the,0,the,0,habit,0
coffin,0,N,coffin,0,coffin,0,old,0,coffin,0,response,0
into,0,PR,into,0,into,0,royal,0,into,0,subject,0
the,0,AT,the,0,the,0,capital,0,the,0,cases,0
mountains,0,N,mountains,0,mountains,0,of,0,mountains,0,quangos,0
to,0,PR,to,0,to,0,Cetinje,0,to,0,merge,0
the,0,AT,the,0,the,0,for,0,the,0,ones,0
old,0,AJ,old,0,old,0,his,0,old,0,replace,0
royal,0,AJ,royal,0,royal,0,reburial,0,royal,0,bodies,0
capital,0,N,capital,0,capital,0,in,0,capital,0,success,0
of,0,PR,of,0,of,0,the,0,of,0,relationship,0
Cetinje,0,N,Cetinje,0,Cetinje,0,monastery,0,Cetinje,0,lot,0
for,0,PR,for,0,for,0,there,0,for,0,marriage,0
his,0,DP,his,0,his,0,Just+as+so,0,his,0,themselves,0
reburial,0,N,reburial,0,reburial,0,Thomson,0,reburial,0,author,0
in,0,PR,in,0,in,0,transferred,1,in,0,illustrator,0
the,0,AT,the,0,the,0,Stein,0,the,0,roles,0
monastery,0,N,monastery,0,monastery,0,literary,0,monastery,0,partnership,0
there,0,AV,there,0,there,0,abstraction,0,there,0,book-makers,0
Just+as+so,0,AV + CJ + AV,Just+as+so,0,Just+as+so,0,to,0,Just+as+so,0,contributing,0
Thomson,0,N,Thomson,0,Thomson,0,music,0,Thomson,0,process,0
transferred,1,V,transferred,0,transferred,0,life,0,transferred,0,holding,0
Stein,0,N,Stein,0,Stein,0,from,0,Stein,0,meetings,0
literary,0,AJ,literary,0,literary,0,sitter,0,literary,0,children,0
abstraction,0,N,abstraction,0,abstraction,1,drawing,0,abstraction,0,telecottage,0
to,1,PR,to,0,to,0,technique,0,to,0,store,0
music,0,N,music,0,music,0,painter,0,music,0,people,0
life,2,N,life,0,life,0,employ,0,life,0,walks,1
from,2,PR,from,0,from,0,portraits,0,from,0,life,0
sitter,2,N,sitter,0,sitter,0,these,0,sitter,0,came,0
drawing,2,V,drawing,0,drawing,0,unusually,0,drawing,0,entrepreneurs,0
technique,2,N,technique,0,technique,0,the,0,technique,0,spouses,0
painter,2,N,painter,0,painter,0,of,0,painter,0,shop+assistants,0
employ,2,V,employ,1,employ,0,the,0,employ,0,craftspeople,0
portraits,2,N,portraits,0,portraits,0,an,0,portraits,0,children,0
these,2,DT,these,0,these,0,ideal,0,these,0,chants,0
unusually,0,AV,unusually,0,unusually,0,combination,0,unusually,0,humiliation,0
the,0,AT,the,0,the,0,of,0,the,0,side,0
of,0,PR,of,0,of,0,Thomson,0,of,0,start,0
the,0,AT,the,0,the,0,habit,0,the,0,season,0
an,0,AT,an,0,an,0,of,0,an,0,week,0
ideal,0,AJ,ideal,1,ideal,0,immediate,0,ideal,0,going-over,0
combination,0,N,combination,0,combination,0,response,0,combination,0,players,0
of,0,PR,of,0,of,0,with,0,of,0,secretary,0
Thomson,0,N,Thomson,0,Thomson,0,an,0,Thomson,0,workers,0
habit,1,N,habit,0,habit,0,actual,0,habit,0,union,0
of,0,PR,of,0,of,0,subject,0,of,0,vote,0
immediate,1,AJ,immediate,0,immediate,0,In,0,immediate,0,defence,0
response,1,N,response,0,response,0,some,0,response,0,policy,0
with,1,PR,with,0,with,0,cases,0,with,0,majority,0
an,0,AT,an,0,an,0,Labour,0,an,0,right-wingers,0
actual,0,AJ,actual,0,actual,0,quangos,0,actual,0,warned,0
subject,1,N,subject,0,subject,0,merge,1,subject,0,leaders,0
In,1,PR,In,0,In,0,existing,0,In,0,expect,0
some,0,DT,some,0,some,0,ones,0,some,0,everybody,0
cases,0,N,cases,0,cases,0,or,0,cases,0,goose-step,0
Labour,0,N,Labour,0,Labour,0,replace,0,Labour,0,direction,0
quangos,0,N,quangos,0,quangos,0,well-established,0,quangos,0,policy,0
merge,1,V,merge,0,merge,0,bodies,0,merge,0,carried,0
existing,0,AJ,existing,0,existing,0,The,0,existing,0,Clocks,0
ones,0,N,ones,0,ones,0,success,0,ones,0,instruments,0
or,0,CJ,or,0,or,0,of,0,or,0,sell,0
replace,1,V,replace,0,replace,0,the,0,replace,0,house,0
well-established,0,AJ,well-established,0,well-established,0,Ahlbergs,0,well-established,0,cottage,0
bodies,1,N,bodies,0,bodies,0,working,0,bodies,0,centre,0
The,0,AT,The,0,The,0,relationship,0,The,0,town,0
success,0,N,success,0,success,0,must,0,success,0,South,0
of,0,PR,of,0,of,0,have,0,of,0,Molton,0
the,0,AT,the,0,the,0,a,0,the,0,cottage,0
Ahlbergs,0,N,Ahlbergs,0,Ahlbergs,0,lot,0,Ahlbergs,0,price,0
working,0,N,working,0,working,0,to,0,working,0,lots,0
relationship,0,N,relationship,0,relationship,0,do,0,relationship,0,sale,0
must,0,V,must,0,must,0,with,0,must,0,auction,0
have,0,V,have,0,have,0,their,0,have,0,Property,0
a,0,AT,a,0,a,0,long,0,a,0,Services,0
lot,0,N,lot,0,lot,0,and,0,lot,0,building+society,0
to,0,TO,to,0,to,0,happy,0,to,0,subsidiary,0
do,0,V,do,0,do,0,marriage,0,do,0,auctioning,0
with,1,PR,with,0,with,0,They,0,with,0,venues,0
their,0,DP,their,0,their,0,see,0,their,0,period,0
long,1,AJ,long,0,long,0,themselves,0,long,0,auction,0
and,0,CJ,and,0,and,0,not,0,and,0,buyers,0
happy,1,AJ,happy,0,happy,0,as,0,happy,1,commit,0
marriage,0,N,marriage,0,marriage,0,author,0,marriage,0,difficulty,0
They,0,PN,They,0,They,0,and,0,They,0,buyers,0
see,1,V,see,0,see,0,illustrator,0,see,0,proceed,0
themselves,0,PN,themselves,0,themselves,0,with,0,themselves,0,director,0
not,0,XX,not,0,not,0,separate,0,not,0,estate+agents,0
as,0,CJ,as,0,as,0,roles,0,as,0,Misunderstood,0
author,0,N,author,0,author,0,but,0,author,0,Records,0
and,0,CJ,and,0,and,0,as,0,and,0,play,0
illustrator,0,N,illustrator,0,illustrator,0,a,0,illustrator,0,music,0
with,1,PR,with,0,with,0,partnership,0,with,0,way,0
separate,1,AJ,separate,0,separate,0,of,0,separate,0,account,0
roles,1,N,roles,0,roles,0,book-makers,0,roles,0,interrogated,0
but,0,CJ,but,0,but,0,contributing,0,but,0,bombings,0
as,0,PR,as,0,as,0,equally,0,as,0,scalp,1
a,0,AT,a,0,a,0,to,0,a,0,crawl,0
partnership,0,N,partnership,0,partnership,1,the,0,partnership,0,Government,0
of,0,PR,of,0,of,0,process,0,of,0,compounds,0
book-makers,0,N,book-makers,0,book-makers,0,By,0,book-makers,0,problems,0
contributing,0,V,contributing,0,contributing,0,holding,0,contributing,0,sets+down,0
equally,0,AV,equally,0,equally,0,open,0,equally,0,parameters,0
to,1,PR,to,0,to,0,meetings,0,to,0,reflect,0
the,0,AT,the,0,the,0,for,0,the,0,value,0
process,0,N,process,0,process,0,children,0,process,0,country,0
By,0,PR,By,0,By,0,and,0,By,0,system,0
holding,1,V,holding,0,holding,0,having,0,holding,0,run,0
open,1,AJ,open,0,open,0,the,0,open,0,shift,0
meetings,0,N,meetings,0,meetings,0,telecottage,0,meetings,0,people,0
for,0,PR,for,0,for,0,above,0,for,0,destinations,0
children,0,N,children,0,children,0,the,0,children,0,speed,0
and,0,CJ,and,0,and,0,local,0,and,0,safety,0
having,0,V,having,0,having,0,store,0,having,0,Europe,0
the,0,AT,the,0,the,0,people,0,the,0,Simon,0
telecottage,0,N,telecottage,0,telecottage,0,of,0,telecottage,0,describes,0
